Path: /HepData/8277/d2-x1-y1
The measured photon asymmetry (A1+ETA*A2) for the Q**2 region 0.6 to 1.10 GeV**2 obtained with a beam energy of 4.3 GeV.
Location: F 1
PLAB : 4.3 GeV
Q**2 : 0.6 - 1.1 GeV^2
RE : E- P --> E- X
x: W(P=4) IN GEV
y : (A1+ETA*A2)
x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
1.1	1.1	1.1	-0.8690705	+0.4879677	-0.4879677	+0.2336159	-0.2336159
1.14	1.14	1.14	-0.1897002	+0.3977436	-0.3977436	+0.114014	-0.114014
1.18	1.18	1.18	-0.4699619	+0.192036	-0.192036	+0.07584245	-0.07584245
1.26	1.26	1.26	-0.1034205	+0.192036	-0.192036	+0.02862442	-0.02862442
1.22	1.22	1.22	0.0407503	+0.1270671	-0.1270671	+0.03450326	-0.03450326
1.26	1.26	1.26	0.0473641	+0.1398839	-0.1398839	+0.041926	-0.041926
1.3	1.3	1.3	0.3569434	+0.1724749	-0.1724749	+0.05316178	-0.05316178
1.34	1.34	1.34	0.2971303	+0.1533694	-0.1533694	+0.05514262	-0.05514262
1.38	1.38	1.38	0.4285906	+0.1697538	-0.1697538	+0.06313009	-0.06313009
1.42	1.42	1.42	0.3845901	+0.1515617	-0.1515617	+0.05156675	-0.05156675
1.46	1.46	1.46	0.5798982	+0.1249743	-0.1249743	+0.06749146	-0.06749146
1.5	1.5	1.5	0.4050949	+0.09124782	-0.09124782	+0.04809906	-0.04809906
1.54	1.54	1.54	0.4344973	+0.0963174	-0.0963174	+0.04414605	-0.04414605
1.58	1.58	1.58	0.4763345	+0.09412875	-0.09412875	+0.05702021	-0.05702021
1.62	1.62	1.62	0.4159092	+0.09713531	-0.09713531	+0.04347929	-0.04347929
1.66	1.66	1.66	0.3156779	+0.07093276	-0.07093276	+0.03500118	-0.03500118
1.7	1.7	1.7	0.5180607	+0.08021744	-0.08021744	+0.05236295	-0.05236295
1.74	1.74	1.74	0.3863154	+0.07768851	-0.07768851	+0.04487585	-0.04487585
1.78	1.78	1.78	0.3282347	+0.08179477	-0.08179477	+0.03951576	-0.03951576
1.82	1.82	1.82	0.3014538	+0.07533447	-0.07533447	+0.03526635	-0.03526635
1.86	1.86	1.86	0.2942011	+0.06477737	-0.06477737	+0.03375727	-0.03375727
1.9	1.9	1.9	0.2243837	+0.0650988	-0.0650988	+0.02780801	-0.02780801
1.94	1.94	1.94	0.2212715	+0.06109565	-0.06109565	+0.02404256	-0.02404256
1.98	1.98	1.98	0.2598089	+0.06183991	-0.06183991	+0.02672019	-0.02672019
2.02	2.02	2.02	0.191288	+0.05950499	-0.05950499	+0.0196986	-0.0196986
2.06	2.06	2.06	0.3484639	+0.05383373	-0.05383373	+0.03458972	-0.03458972
2.1	2.1	2.1	0.2857043	+0.05856489	-0.05856489	+0.03124445	-0.03124445
2.14	2.14	2.14	0.3049844	+0.05133893	-0.05133893	+0.03401721	-0.03401721
2.18	2.18	2.18	0.2658292	+0.05268385	-0.05268385	+0.0303748	-0.0303748
2.22	2.22	2.22	0.2430954	+0.05069708	-0.05069708	+0.03159225	-0.03159225
2.26	2.26	2.26	0.2170711	+0.04868629	-0.04868629	+0.02844225	-0.02844225
2.3	2.3	2.3	0.1895691	+0.04408199	-0.04408199	+0.02413993	-0.02413993
2.34	2.34	2.34	0.2421625	+0.04629172	-0.04629172	+0.03157607	-0.03157607
2.38	2.38	2.38	0.1996478	+0.04054782	-0.04054782	+0.02858839	-0.02858839
2.42	2.42	2.42	0.1563709	+0.04067584	-0.04067584	+0.03061075	-0.03061075
2.46	2.46	2.46	0.248692	+0.05663406	-0.05663406	+0.0495114	-0.0495114
2.5	2.5	2.5	0.2210182	+0.05268711	-0.05268711	+0.05781081	-0.05781081
2.54	2.54	2.54	0.1609937	+0.04874338	-0.04874338	+0.04519042	-0.04519042

