Path: /HepData/8277/d7-x1-y1
The polarized structure function G1 as a function of Bjorken X for the Q**2range 1.10 to 1.64 GeV.
Location: F 2
PLAB IN GEV : 2.6 + 4.3
Q**2 : 1.1 - 1.64 GeV^2
RE : E- P --> E- X
x: X
y : G1
x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
0.24415	0.24415	0.24415	0.27747	+0.0512	-0.0512	+0.01956	-0.01956
0.25223	0.25223	0.25223	0.22632	+0.04885	-0.04885	+0.01239	-0.01239
0.26071	0.26071	0.26071	0.15845	+0.02988	-0.02988	+0.00893	-0.00893
0.2696	0.2696	0.2696	0.14469	+0.03023	-0.03023	+0.00804	-0.00804
0.27894	0.27894	0.27894	0.15405	+0.03143	-0.03143	+0.00828	-0.00828
0.28876	0.28876	0.28876	0.17635	+0.03009	-0.03009	+0.00832	-0.00832
0.29908	0.29908	0.29908	0.16923	+0.03157	-0.03157	+0.0071	-0.0071
0.30994	0.30994	0.30994	0.09843	+0.0294	-0.0294	+0.0098	-0.0098
0.32138	0.32138	0.32138	0.14626	+0.03058	-0.03058	+0.01068	-0.01068
0.33343	0.33343	0.33343	0.06222	+0.02896	-0.02896	+0.00939	-0.00939
0.34614	0.34614	0.34614	0.13652	+0.02933	-0.02933	+0.01089	-0.01089
0.35956	0.35956	0.35956	0.10948	+0.02756	-0.02756	+0.00956	-0.00956
0.37373	0.37373	0.37373	0.17366	+0.02733	-0.02733	+0.01235	-0.01235
0.3887	0.3887	0.3887	0.13092	+0.02024	-0.02024	+0.01367	-0.01367
0.40455	0.40455	0.40455	0.14615	+0.0183	-0.0183	+0.00976	-0.00976
0.42132	0.42132	0.42132	0.12927	+0.0195	-0.0195	+0.01782	-0.01782
0.4391	0.4391	0.4391	0.11869	+0.01487	-0.01487	+0.02258	-0.02258
0.45795	0.45795	0.45795	0.13827	+0.01425	-0.01425	+0.01736	-0.01736
0.47795	0.47795	0.47795	0.1209	+0.01207	-0.01207	+0.01816	-0.01816
0.49919	0.49919	0.49919	0.12138	+0.01251	-0.01251	+0.01471	-0.01471
0.52178	0.52178	0.52178	0.06873	+0.0102	-0.0102	+0.00565	-0.00565
0.5458	0.5458	0.5458	0.05058	+0.01017	-0.01017	+0.01114	-0.01114
0.57138	0.57138	0.57138	0.03271	+0.00657	-0.00657	+0.00711	-0.00711
0.59863	0.59863	0.59863	0.03568	+0.00754	-0.00754	+0.00473	-0.00473
0.62769	0.62769	0.62769	0.0253	+0.00712	-0.00712	+0.00881	-0.00881
0.65869	0.65869	0.65869	-0.0045	+0.00726	-0.00726	+0.00185	-0.00185
0.69179	0.69179	0.69179	-0.03251	+0.00801	-0.00801	+0.00655	-0.00655
0.72716	0.72716	0.72716	-0.00508	+0.00606	-0.00606	+0.00199	-0.00199
0.76495	0.76495	0.76495	9.0E-5	+0.00336	-0.00336	+9.1E-4	-9.1E-4
0.80538	0.80538	0.80538	-0.00112	+7.1E-4	-7.1E-4	+8.4E-4	-8.4E-4

