Path: /HepData/8277/d3-x1-y1
The polarized structure function G1 as a function of Bjorken X for the Q**2range 0.15 to 0.27 GeV.
Location: F 2
PLAB IN GEV : 2.6 + 4.3
Q**2 : 0.15 - 0.27 GeV^2
RE : E- P --> E- X
x: X
y : G1
x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
0.05356	0.05356	0.05356	0.00856	+0.08823	-0.08823	+0.02336	-0.02336
0.05607	0.05607	0.05607	0.10981	+0.04328	-0.04328	+0.02253	-0.02253
0.05876	0.05876	0.05876	-0.01588	+0.03893	-0.03893	+0.0147	-0.0147
0.06166	0.06166	0.06166	0.06446	+0.04528	-0.04528	+0.022	-0.022
0.06479	0.06479	0.06479	-0.02119	+0.04372	-0.04372	+0.02288	-0.02288
0.06819	0.06819	0.06819	0.02047	+0.04518	-0.04518	+0.02229	-0.02229
0.07188	0.07188	0.07188	0.00997	+0.03962	-0.03962	+0.01961	-0.01961
0.0759	0.0759	0.0759	0.08023	+0.0384	-0.0384	+0.01991	-0.01991
0.08029	0.08029	0.08029	0.04386	+0.03974	-0.03974	+0.01593	-0.01593
0.08511	0.08511	0.08511	0.04797	+0.04103	-0.04103	+0.01473	-0.01473
0.09041	0.09041	0.09041	0.1136	+0.04697	-0.04697	+0.01742	-0.01742
0.09626	0.09626	0.09626	0.02039	+0.04544	-0.04544	+0.01552	-0.01552
0.10276	0.10276	0.10276	0.06247	+0.04042	-0.04042	+0.01889	-0.01889
0.11	0.11	0.11	0.06244	+0.03718	-0.03718	+0.0218	-0.0218
0.11812	0.11812	0.11812	0.07196	+0.04275	-0.04275	+0.02329	-0.02329
0.12727	0.12727	0.12727	0.07802	+0.04792	-0.04792	+0.02565	-0.02565
0.13765	0.13765	0.13765	0.05255	+0.04042	-0.04042	+0.02225	-0.02225
0.14952	0.14952	0.14952	0.0237	+0.03529	-0.03529	+0.01939	-0.01939
0.1632	0.1632	0.1632	0.04814	+0.03307	-0.03307	+0.01722	-0.01722
0.17912	0.17912	0.17912	0.00181	+0.03497	-0.03497	+0.01666	-0.01666
0.19785	0.19785	0.19785	-0.0212	+0.03914	-0.03914	+0.01896	-0.01896
0.22017	0.22017	0.22017	-0.16429	+0.04464	-0.04464	+0.04849	-0.04849
0.2472	0.2472	0.2472	-0.3039	+0.04914	-0.04914	+0.08191	-0.08191
0.28052	0.28052	0.28052	-0.12435	+0.02813	-0.02813	+0.0277	-0.0277
0.32255	0.32255	0.32255	-0.02296	+0.01371	-0.01371	+0.00811	-0.00811
0.3771	0.3771	0.3771	-0.00433	+0.00204	-0.00204	+0.00285	-0.00285

