Path: /HepData/8277/d8-x1-y1
G1 as a function of W and Bjorken X for a mean Q**2 = 2.047370 GeV**2.
Location: F 3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
PLAB IN GEV : 2.6 + 4.3
Q**2 : 0.166116 GeV^2
Q**2 : 0.200237 GeV^2
Q**2 : 0.245349 GeV^2
Q**2 : 0.299227 GeV^2
Q**2 : 0.37027 GeV^2
Q**2 : 0.470418 GeV^2
Q**2 : 0.548732 GeV^2
Q**2 : 0.664122 GeV^2
Q**2 : 0.811666 GeV^2
Q**2 : 0.986427 GeV^2
Q**2 : 1.1 - 1.64 GeV^2
Q**2 : 1.20255 GeV^2
Q**2 : 1.46071 GeV^2
Q**2 : 1.73676 GeV^2
Q**2 : 2.04737 GeV^2
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
RE : E- P --> E- X
x: W(P=4) IN GEV
x2: X
y : G1
x	xlow	xhigh	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	
1.89	1.89	1.89	0.43196	0.43196	0.43196	0.054682	+0.028525	-0.028525	+0.005678	-0.005678
1.91	1.91	1.91	0.425143	0.425143	0.425143	0.083517	+0.030242	-0.030242	+0.006843	-0.006843
1.93	1.93	1.93	0.418469	0.418469	0.418469	0.058453	+0.033484	-0.033484	+0.006192	-0.006192
1.95	1.95	1.95	0.411935	0.411935	0.411935	0.081086	+0.03451	-0.03451	+0.006924	-0.006924
1.97	1.97	1.97	0.405538	0.405538	0.405538	0.137771	+0.039905	-0.039905	+0.010605	-0.010605
1.99	1.99	1.99	0.399274	0.399274	0.399274	0.072972	+0.026197	-0.026197	+0.006712	-0.006712
2.01	2.01	2.01	0.39314	0.39314	0.39314	0.108455	+0.030674	-0.030674	+0.006069	-0.006069
2.03	2.03	2.03	0.387134	0.387134	0.387134	0.095966	+0.031367	-0.031367	+0.006443	-0.006443
2.05	2.05	2.05	0.381251	0.381251	0.381251	0.149433	+0.040601	-0.040601	+0.010882	-0.010882
2.07	2.07	2.07	0.375489	0.375489	0.375489	0.108881	+0.0466	-0.0466	+0.008715	-0.008715
2.09	2.09	2.09	0.369845	0.369845	0.369845	0.166731	+0.056266	-0.056266	+0.016562	-0.016562
2.11	2.11	2.11	0.364317	0.364317	0.364317	0.129793	+0.042687	-0.042687	+0.011608	-0.011608
2.13	2.13	2.13	0.358901	0.358901	0.358901	0.125005	+0.040989	-0.040989	+0.013705	-0.013705
2.15	2.15	2.15	0.353595	0.353595	0.353595	0.158713	+0.067258	-0.067258	+0.022732	-0.022732
2.17	2.17	2.17	0.348396	0.348396	0.348396	0.107381	+0.05346	-0.05346	+0.015928	-0.015928
2.19	2.19	2.19	0.343302	0.343302	0.343302	0.18686	+0.053539	-0.053539	+0.031259	-0.031259

