Path: /HepData/8277/d5-x1-y1
The polarized structure function G1 as a function of Bjorken X for the Q**2range 0.50 to 0.74 GeV.
Location: F 2
PLAB IN GEV : 2.6 + 4.3
Q**2 : 0.5 - 0.74 GeV^2
RE : E- P --> E- X
x: X
y : G1
x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
0.10133	0.10133	0.10133	0.22295	+0.07427	-0.07427	+0.02508	-0.02508
0.10481	0.10481	0.10481	0.20843	+0.05516	-0.05516	+0.02125	-0.02125
0.10847	0.10847	0.10847	0.24042	+0.05776	-0.05776	+0.0199	-0.0199
0.11234	0.11234	0.11234	0.14213	+0.06009	-0.06009	+0.01351	-0.01351
0.11642	0.11642	0.11642	0.20005	+0.05671	-0.05671	+0.0135	-0.0135
0.12072	0.12072	0.12072	0.16984	+0.05557	-0.05557	+0.01294	-0.01294
0.12528	0.12528	0.12528	0.26359	+0.05572	-0.05572	+0.01548	-0.01548
0.1301	0.1301	0.1301	0.2871	+0.05985	-0.05985	+0.01717	-0.01717
0.13522	0.13522	0.13522	0.17849	+0.05735	-0.05735	+0.01222	-0.01222
0.14064	0.14064	0.14064	0.10471	+0.06114	-0.06114	+0.01333	-0.01333
0.14641	0.14641	0.14641	0.25617	+0.0502	-0.0502	+0.01424	-0.01424
0.15255	0.15255	0.15255	0.11115	+0.05518	-0.05518	+0.01139	-0.01139
0.15909	0.15909	0.15909	0.14634	+0.04088	-0.04088	+0.01403	-0.01403
0.16607	0.16607	0.16607	0.08659	+0.01793	-0.01793	+0.03051	-0.03051
0.17354	0.17354	0.17354	0.08187	+0.01762	-0.01762	+0.02774	-0.02774
0.18153	0.18153	0.18153	0.0883	+0.01783	-0.01783	+0.03567	-0.03567
0.1901	0.1901	0.1901	0.12444	+0.01732	-0.01732	+0.03024	-0.03024
0.19931	0.19931	0.19931	0.11461	+0.01716	-0.01716	+0.03672	-0.03672
0.20923	0.20923	0.20923	0.12332	+0.0163	-0.0163	+0.03309	-0.03309
0.21993	0.21993	0.21993	0.1649	+0.01674	-0.01674	+0.02603	-0.02603
0.2315	0.2315	0.2315	0.1602	+0.019	-0.019	+0.03942	-0.03942
0.24404	0.24404	0.24404	0.14238	+0.01833	-0.01833	+0.0208	-0.0208
0.25767	0.25767	0.25767	0.13145	+0.01771	-0.01771	+0.03022	-0.03022
0.27251	0.27251	0.27251	0.14825	+0.01678	-0.01678	+0.02432	-0.02432
0.28873	0.28873	0.28873	0.18292	+0.01724	-0.01724	+0.02463	-0.02463
0.3065	0.3065	0.3065	0.21533	+0.01878	-0.01878	+0.03686	-0.03686
0.32604	0.32604	0.32604	0.13021	+0.01559	-0.01559	+0.01665	-0.01665
0.3476	0.3476	0.3476	0.05848	+0.01352	-0.01352	+0.0131	-0.0131
0.37149	0.37149	0.37149	0.05851	+0.01156	-0.01156	+0.01345	-0.01345
0.39806	0.39806	0.39806	0.04062	+0.01152	-0.01152	+0.00675	-0.00675
0.42776	0.42776	0.42776	0.00455	+0.01311	-0.01311	+0.00622	-0.00622
0.46112	0.46112	0.46112	-0.0595	+0.01466	-0.01466	+0.01462	-0.01462
0.4988	0.4988	0.4988	-0.11471	+0.0154	-0.0154	+0.03343	-0.03343
0.54163	0.54163	0.54163	-0.02897	+0.01063	-0.01063	+0.00632	-0.00632
0.59067	0.59067	0.59067	-0.01068	+0.00539	-0.00539	+0.00432	-0.00432
0.64724	0.64724	0.64724	-0.00309	+8.1E-4	-8.1E-4	+0.00221	-0.00221

