Path: /HepData/8277/d4-x1-y1
The polarized structure function G1 as a function of Bjorken X for the Q**2range 0.27 to 0.50 GeV.
Location: F 2
PLAB IN GEV : 2.6 + 4.3
Q**2 : 0.27 - 0.5 GeV^2
RE : E- P --> E- X
x: X
y : G1
x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
0.06073	0.06073	0.06073	0.15266	+0.06714	-0.06714	+0.02575	-0.02575
0.06282	0.06282	0.06282	0.18562	+0.07309	-0.07309	+0.02275	-0.02275
0.06503	0.06503	0.06503	0.02952	+0.07078	-0.07078	+0.01876	-0.01876
0.06735	0.06735	0.06735	0.13251	+0.06943	-0.06943	+0.018	-0.018
0.06981	0.06981	0.06981	0.07094	+0.07105	-0.07105	+0.01708	-0.01708
0.07241	0.07241	0.07241	0.30053	+0.06794	-0.06794	+0.02154	-0.02154
0.07516	0.07516	0.07516	0.10806	+0.06666	-0.06666	+0.01664	-0.01664
0.07808	0.07808	0.07808	0.10211	+0.06605	-0.06605	+0.01624	-0.01624
0.08117	0.08117	0.08117	0.17152	+0.07262	-0.07262	+0.01791	-0.01791
0.08446	0.08446	0.08446	0.04926	+0.06534	-0.06534	+0.01628	-0.01628
0.08796	0.08796	0.08796	0.14807	+0.06941	-0.06941	+0.01688	-0.01688
0.09169	0.09169	0.09169	0.17061	+0.07079	-0.07079	+0.01838	-0.01838
0.09568	0.09568	0.09568	0.09381	+0.03252	-0.03252	+0.01782	-0.01782
0.09994	0.09994	0.09994	0.07945	+0.02193	-0.02193	+0.01368	-0.01368
0.1045	0.1045	0.1045	0.06239	+0.01846	-0.01846	+0.01042	-0.01042
0.1094	0.1094	0.1094	0.07629	+0.01829	-0.01829	+0.02295	-0.02295
0.11467	0.11467	0.11467	0.09008	+0.01777	-0.01777	+0.02456	-0.02456
0.12034	0.12034	0.12034	0.07511	+0.01752	-0.01752	+0.02109	-0.02109
0.12647	0.12647	0.12647	0.09216	+0.01835	-0.01835	+0.03177	-0.03177
0.1331	0.1331	0.1331	0.08894	+0.01823	-0.01823	+0.02271	-0.02271
0.1403	0.1403	0.1403	0.11844	+0.02016	-0.02016	+0.02262	-0.02262
0.14814	0.14814	0.14814	0.11965	+0.02009	-0.02009	+0.02584	-0.02584
0.15669	0.15669	0.15669	0.13486	+0.02313	-0.02313	+0.02437	-0.02437
0.16606	0.16606	0.16606	0.11546	+0.02246	-0.02246	+0.02461	-0.02461
0.17634	0.17634	0.17634	0.08631	+0.01968	-0.01968	+0.01787	-0.01787
0.18769	0.18769	0.18769	0.14974	+0.01795	-0.01795	+0.03202	-0.03202
0.20025	0.20025	0.20025	0.20873	+0.02104	-0.02104	+0.02987	-0.02987
0.21421	0.21421	0.21421	0.21443	+0.02264	-0.02264	+0.04239	-0.04239
0.22982	0.22982	0.22982	0.11629	+0.01922	-0.01922	+0.02357	-0.02357
0.24735	0.24735	0.24735	0.05445	+0.01579	-0.01579	+0.01896	-0.01896
0.26717	0.26717	0.26717	0.06782	+0.01429	-0.01429	+0.01151	-0.01151
0.28972	0.28972	0.28972	0.03111	+0.01536	-0.01536	+0.01065	-0.01065
0.31558	0.31558	0.31558	-0.02245	+0.01672	-0.01672	+0.01869	-0.01869
0.34547	0.34547	0.34547	-0.0821	+0.01814	-0.01814	+0.02614	-0.02614
0.38037	0.38037	0.38037	-0.15096	+0.02031	-0.02031	+0.03869	-0.03869
0.42159	0.42159	0.42159	-0.10246	+0.01407	-0.01407	+0.0221	-0.0221
0.47092	0.47092	0.47092	-0.01806	+0.00625	-0.00625	+0.00666	-0.00666
0.5309	0.5309	0.5309	-0.00363	+9.4E-4	-9.4E-4	+0.00219	-0.00219

