0.33	 2.71	-0.048 ± 0.024 (stat) + 0.015,-0.016 (sys)	-0.004 ± 0.06 (stat) ± 0.          (sys)
0.47	 3.52	-0.006 ± 0.027 (stat) ± 0.01       (sys)	0.117 ± 0.055 (stat) + 0.012,-0.021 (sys)
0.6	 4.83	 0.175 ± 0.048 (stat) + 0.026,-0.028 (sys)	-0.034 ± 0.12 (stat) ± 0.0         (sys)
