! E155 A_parallel for the proton and deuteron. 
! These data do not include Radiative Corrections. 
! Beam Energy: 48.35 GeV; Scattering Angle: 5.5 deg; 
! Source: T.S. Toole, "A Precision Measurement of the 
!         Spin Structure Functions g1p and g1d", pg239, 
!         Ph. D. thesis, American University, (2000) unpublished. 
! 
!--------------------------5.5 deg----------------------------! 
!--------------proton----------!!----------deuteron------------! 
! <x>      <Q2>   A_||  +-stat    <x>      <Q2>   A_||  +-stat     
  0.057    4.00   0.143   0.044   0.057    4.00  -0.129   0.092 
  0.063    4.39   0.121   0.021   0.063    4.39   0.036   0.042 
  0.071    4.83   0.100   0.014   0.071    4.83   0.011   0.028 
  0.080    5.30   0.111   0.011   0.080    5.30   0.012   0.021 
  0.090    5.80   0.120   0.010   0.090    5.80   0.021   0.019 
  0.101    6.32   0.128   0.009   0.101    6.32   0.072   0.017 
  0.113    6.87   0.126   0.009   0.113    6.87   0.025   0.017 
  0.128    7.43   0.166   0.009   0.128    7.43   0.058   0.017 
  0.144    8.02   0.166   0.009   0.144    8.02   0.087   0.018 
  0.162    8.62   0.152   0.009   0.162    8.62   0.063   0.018 
  0.182    9.23   0.167   0.010   0.182    9.23   0.073   0.020 
  0.205    9.85   0.166   0.010   0.205    9.85   0.069   0.021 
  0.230   10.48   0.206   0.011   0.230   10.48   0.118   0.023 
  0.259   11.11   0.194   0.012   0.259   11.12   0.091   0.025 
  0.292   11.73   0.209   0.013   0.292   11.73   0.149   0.027 
  0.328   12.34   0.199   0.014   0.328   12.34   0.126   0.030 
  0.370   12.94   0.225   0.016   0.369   12.94   0.167   0.034 
  0.416   13.52   0.229   0.018   0.416   13.53   0.105   0.039 
  0.468   14.08   0.171   0.021   0.468   14.09   0.101   0.046 
  0.526   14.61   0.202   0.024   0.526   14.63   0.146   0.055 
  0.592   15.11   0.199   0.030   0.592   15.12   0.265   0.069 
  0.666   15.58   0.167   0.038   0.666   15.59   0.255   0.088 
  0.749   15.99   0.229   0.050   0.749   16.00   0.025   0.115 
  0.843   16.34   0.192   0.078   0.843   16.35   0.148   0.156 
