! E155 A_parallel for the proton and deuteron. 
! Beam Energy: 48.35 GeV; Scattering Angle: 10.5 deg; 
! Source: T.S. Toole, "A Precision Measurement of the Spin Structure Functions g1p and g1d", pg187, 
!         Ph. D. thesis, American University, (2000) unpublished. 
! 
!-----------------------------------10.5 deg-----------------------------------! 
!----------------proton----------------!!--------------deuteron----------------! 
!  <x>     <Q2>   A_||  +-stat  +-syst     <x>     <Q2>   A_||  +-stat  +-syst   
  0.130   10.04   0.333   0.125   0.017   0.130   10.04  -0.004   0.228   0.005 
  0.145   11.14   0.303   0.051   0.019   0.145   11.14  -0.006   0.096   0.006 
  0.162   12.35   0.251   0.033   0.020   0.163   12.37   0.207   0.063   0.006 
  0.182   13.70   0.299   0.026   0.022   0.182   13.70   0.107   0.049   0.007 
  0.205   15.13   0.299   0.023   0.023   0.205   15.15   0.166   0.046   0.008 
  0.230   16.66   0.349   0.024   0.025   0.230   16.67   0.086   0.047   0.009 
  0.259   18.28   0.326   0.026   0.027   0.259   18.28   0.206   0.051   0.010 
  0.291   20.03   0.447   0.030   0.029   0.292   20.04   0.249   0.057   0.011 
  0.328   21.86   0.433   0.032   0.031   0.328   21.86   0.186   0.062   0.012 
  0.369   23.80   0.413   0.035   0.033   0.369   23.78   0.370   0.073   0.013 
  0.413   25.85   0.365   0.046   0.034   0.414   25.90   0.211   0.098   0.015 
  0.465   27.94   0.410   0.075   0.036   0.465   28.04   0.332   0.153   0.016 
  0.524   30.12   0.318   0.122   0.036   0.524   30.19   0.366   0.253   0.017 
  0.590   32.30   0.642   0.176   0.036   0.590   32.36  -0.183   0.389   0.017 
  0.663   34.72   0.417   0.293   0.035   0.661   34.79   0.315   0.649   0.017 
