! E155 A_parallel for the proton and deuteron. 
! Beam Energy: 48.35 GeV; Scattering Angle: 5.5 deg; 
! Source: T.S. Toole, "A Precision Measurement of the Spin Structure Functions g1p and g1d", pg186, 
!         Ph. D. thesis, American University, (2000) unpublished. 
! 
!-----------------------------------5.5 deg-----------------------------------! 
!----------------proton----------------!!--------------deuteron----------------! 
!  <x>     <Q2>   A_||  +-stat  +-syst     <x>     <Q2>   A_||  +-stat  +-syst   
  0.057    4.01   0.192   0.072   0.008   0.057    4.00  -0.215   0.140   0.002 
  0.063    4.39   0.146   0.032   0.009   0.063    4.39   0.034   0.061   0.002 
  0.071    4.83   0.106   0.021   0.009   0.071    4.83  -0.004   0.038   0.002 
  0.080    5.30   0.116   0.016   0.010   0.080    5.30  -0.002   0.028   0.002 
  0.090    5.80   0.123   0.013   0.010   0.090    5.80   0.010   0.023   0.003 
  0.101    6.32   0.129   0.012   0.011   0.101    6.32   0.071   0.021   0.003 
  0.113    6.87   0.124   0.011   0.012   0.113    6.87   0.014   0.020   0.003 
  0.128    7.43   0.169   0.010   0.012   0.128    7.43   0.053   0.019   0.003 
  0.144    8.02   0.167   0.010   0.013   0.144    8.02   0.084   0.019   0.004 
  0.162    8.62   0.150   0.011   0.014   0.162    8.62   0.057   0.020   0.004 
  0.182    9.23   0.166   0.011   0.014   0.182    9.23   0.068   0.021   0.004 
  0.205    9.85   0.164   0.012   0.015   0.205    9.85   0.065   0.021   0.005 
  0.230   10.48   0.207   0.012   0.016   0.230   10.48   0.114   0.023   0.005 
  0.259   11.11   0.195   0.013   0.016   0.259   11.11   0.089   0.024   0.006 
  0.292   11.73   0.211   0.013   0.017   0.292   11.73   0.145   0.026   0.006 
  0.328   12.34   0.203   0.014   0.017   0.328   12.34   0.123   0.028   0.007 
  0.370   12.94   0.228   0.015   0.017   0.370   12.94   0.163   0.032   0.007 
  0.416   13.52   0.233   0.016   0.017   0.416   13.53   0.106   0.036   0.007 
  0.468   14.08   0.181   0.018   0.017   0.468   14.09   0.103   0.043   0.007 
  0.526   14.61   0.208   0.022   0.017   0.526   14.63   0.146   0.052   0.008 
  0.592   15.11   0.204   0.028   0.016   0.592   15.12   0.259   0.065   0.008 
  0.666   15.58   0.172   0.036   0.015   0.666   15.59   0.252   0.085   0.007 
  0.749   15.99   0.231   0.048   0.013   0.749   16.00   0.030   0.111   0.007 
  0.843   16.34   0.193   0.077   0.011   0.843   16.35   0.148   0.153   0.006 
