 2 0.010 0.020 0.015 1.22 0.358 0.069 0.035 0.048 0.009 0.004 
 2 0.020 0.030 0.025 1.59 0.281 0.040 0.030 0.057 0.008 0.006 
 2 0.030 0.040 0.035 2.05 0.266 0.030 0.027 0.070 0.008 0.007 
 2 0.040 0.060 0.050 2.58 0.313 0.024 0.025 0.111 0.009 0.009 
 2 0.060 0.100 0.080 3.24 0.287 0.017 0.023 0.155 0.009 0.013 
 2 0.100 0.150 0.125 4.03 0.228 0.015 0.022 0.186 0.012 0.018 
 2 0.150 0.200 0.175 4.62 0.240 0.020 0.020 0.273 0.023 0.023 
 2 0.200 0.300 0.250 5.06 0.210 0.014 0.018 0.358 0.023 0.030 
 2 0.300 0.400 0.350 5.51 0.150 0.017 0.014 0.424 0.049 0.039 
 2 0.400 0.600 0.500 5.77 0.088 0.009 0.008 0.561 0.058 0.048 
 5 0.040 0.060 0.050 4.01 0.690 0.273 0.031 0.222 0.088 0.009 
 5 0.060 0.100 0.080 5.36 0.303 0.022 0.026 0.150 0.011 0.013 
 5 0.100 0.150 0.125 7.17 0.274 0.010 0.023 0.209 0.007 0.018 
 5 0.150 0.200 0.175 8.90 0.226 0.011 0.021 0.247 0.012 0.023 
 5 0.200 0.300 0.250 10.64 0.206 0.006 0.018 0.353 0.011 0.030 
 5 0.300 0.400 0.350 12.60 0.154 0.007 0.013 0.466 0.020 0.039 
 5 0.400 0.600 0.500 14.02 0.072 0.003 0.006 0.561 0.024 0.048 
 5 0.600 0.900 0.750 15.70 0.009 0.001 0.001 0.622 0.091 0.050 
 10 0.100 0.150 0.125 10.99 0.415 0.068 0.026 0.307 0.050 0.018 
 10 0.150 0.200 0.175 13.19 0.282 0.020 0.022 0.304 0.022 0.023 
 10 0.200 0.300 0.250 17.21 0.229 0.008 0.018 0.396 0.014 0.030 
 10 0.300 0.400 0.350 22.73 0.157 0.008 0.012 0.500 0.025 0.038 
 10 0.400 0.600 0.500 26.86 0.058 0.005 0.006 0.507 0.042 0.048 
 10 0.600 0.900 0.750 34.72 0.006 0.004 0.001 0.559 0.405 0.050 
