 0.063 0.89 0.29733 0.00505 0.00505 
 0.063 1.14 0.30884 0.00772 0.00525 
 0.065 0.92 0.29690 0.00534 0.00356 
 0.066 1.52 0.32904 0.00790 0.00954 
 0.067 0.59 0.25588 0.00614 0.00384 
 0.068 1.11 0.30863 0.00586 0.00370 
 0.075 1.66 0.33283 0.00832 0.00433 
 0.077 0.81 0.29345 0.00558 0.00352 
 0.077 1.11 0.30769 0.00800 0.00769 
 0.077 1.27 0.31897 0.00797 0.00415 
 0.077 2.01 0.33899 0.01119 0.00814 
 0.078 1.27 0.32173 0.00515 0.00869 
 0.080 0.58 0.26434 0.00476 0.00370 
 0.080 1.66 0.31135 0.00965 0.00872 
 0.081 1.00 0.30117 0.00542 0.00361 
 0.081 1.02 0.30495 0.00762 0.00427 
 0.082 1.02 0.30991 0.00558 0.00434 
 0.083 1.76 0.32291 0.00549 0.00872 
 0.083 2.39 0.34020 0.00919 0.00885 
 0.084 1.20 0.31545 0.00599 0.00347 
 0.084 1.54 0.31463 0.00818 0.00692 
 0.086 2.51 0.30691 0.02486 0.01013 
 0.088 1.96 0.34305 0.02058 0.00858 
 0.089 0.66 0.27477 0.00659 0.00495 
 0.089 2.00 0.33247 0.00399 0.00565 
 0.090 0.67 0.27477 0.00659 0.00495 
 0.090 0.67 0.27439 0.00686 0.00357 
 0.090 1.85 0.32732 0.00818 0.00327 
 0.091 1.53 0.31502 0.01134 0.00788 
 0.096 1.97 0.32755 0.00917 0.00655 
 0.096 1.97 0.31347 0.01160 0.00690 
 0.097 0.87 0.29153 0.00583 0.00350 
 0.098 1.44 0.32056 0.00801 0.00321 
 0.098 2.15 0.33653 0.00942 0.00774 
 0.099 2.44 0.32544 0.01009 0.00749 
 0.100 1.08 0.30458 0.00548 0.00335 
 0.102 0.62 0.27367 0.00520 0.00383 
 0.102 0.96 0.30479 0.00518 0.00701 
 0.102 1.29 0.31483 0.00598 0.00315 
 0.103 1.98 0.31993 0.00512 0.00288 
 0.104 1.14 0.30117 0.00753 0.00301 
 0.105 3.01 0.32457 0.01039 0.01201 
 0.106 2.14 0.32600 0.01271 0.00717 
 0.107 2.02 0.32854 0.00821 0.00296 
 0.107 2.89 0.33953 0.00849 0.00883 
 0.108 1.39 0.31810 0.00827 0.00541 
 0.108 1.83 0.32934 0.00823 0.00527 
 0.108 2.33 0.31224 0.01093 0.00781 
 0.113 1.83 0.31733 0.00889 0.00539 
 0.116 2.32 0.32237 0.00838 0.00741 
 0.118 0.66 0.27724 0.00388 0.00471 
 0.118 3.34 0.33828 0.01218 0.01218 
 0.119 0.74 0.28484 0.00712 0.00370 
 0.120 1.12 0.29981 0.00869 0.00480 
 0.120 2.31 0.32609 0.00913 0.00587 
 0.121 2.57 0.31510 0.00662 0.00851 
 0.122 1.59 0.31621 0.00791 0.00253 
 0.122 2.85 0.33957 0.00917 0.00713 
 0.123 1.59 0.32021 0.00512 0.00256 
 0.124 0.93 0.30382 0.00577 0.00365 
 0.124 1.15 0.30688 0.00583 0.00338 
 0.124 1.38 0.31588 0.00600 0.00347 
 0.126 2.19 0.32423 0.00778 0.00292 
 0.127 0.79 0.29122 0.00728 0.00437 
 0.127 1.36 0.33379 0.01535 0.00701 
 0.127 2.19 0.31864 0.00637 0.00287 
 0.129 2.04 0.31055 0.00714 0.00559 
 0.130 2.00 0.32583 0.00391 0.00358 
 0.130 2.54 0.32427 0.00843 0.00811 
 0.131 3.36 0.33682 0.00876 0.00741 
 0.132 1.26 0.30726 0.00799 0.00277 
 0.134 1.26 0.31228 0.00593 0.00406 
 0.134 3.72 0.31930 0.00990 0.01022 
 0.136 0.66 0.27988 0.00532 0.00364 
 0.139 0.91 0.29939 0.00659 0.00599 
 0.140 5.00 0.32716 0.00229 0.00687 
 0.141 2.18 0.28484 0.00911 0.00541 
 0.142 2.19 0.32172 0.00836 0.00483 
 0.143 2.76 0.32410 0.00745 0.00810 
 0.144 1.64 0.30853 0.00802 0.00432 
 0.146 3.02 0.32391 0.00842 0.00875 
 0.147 2.63 0.32128 0.00867 0.00546 
 0.150 0.77 0.28935 0.00376 0.00347 
 0.150 1.74 0.31390 0.00785 0.00251 
 0.150 3.27 0.32923 0.00889 0.00593 
 0.152 1.74 0.31341 0.00533 0.00282 
