 0.063 0.89 0.31594 0.00569 0.00537 
 0.063 1.14 0.32321 0.00937 0.00549 
 0.065 0.92 0.31655 0.00633 0.00412 
 0.066 1.52 0.36294 0.00980 0.01053 
 0.067 0.59 0.27682 0.00720 0.00415 
 0.068 1.11 0.33132 0.00630 0.00431 
 0.075 1.66 0.35448 0.01028 0.00461 
 0.077 0.81 0.30415 0.00608 0.00395 
 0.077 1.11 0.32474 0.01007 0.00812 
 0.077 1.27 0.34363 0.00962 0.00447 
 0.077 2.01 0.37937 0.01328 0.00910 
 0.078 1.27 0.34498 0.00621 0.00966 
 0.080 1.67 0.35137 0.01476 0.00984 
 0.081 0.58 0.28106 0.00506 0.00422 
 0.081 1.00 0.32187 0.00644 0.00386 
 0.081 1.02 0.32385 0.00939 0.00453 
 0.082 1.02 0.33099 0.00530 0.00496 
 0.083 1.76 0.34599 0.00588 0.00934 
 0.083 2.39 0.35900 0.01185 0.00933 
 0.084 1.20 0.33360 0.00667 0.00400 
 0.084 1.54 0.33888 0.01084 0.00746 
 0.086 2.51 0.35834 0.03082 0.01147 
 0.088 1.96 0.31517 0.02206 0.00756 
 0.089 0.66 0.29204 0.00789 0.00555 
 0.090 0.67 0.30119 0.00813 0.00422 
 0.090 1.85 0.36392 0.01019 0.00364 
 0.091 1.53 0.33938 0.01120 0.00815 
 0.095 1.27 0.32703 0.01275 0.00818 
 0.096 1.97 0.35394 0.01133 0.00708 
 0.096 1.97 0.35402 0.01593 0.00743 
 0.097 0.87 0.31517 0.00630 0.00410 
 0.098 1.44 0.34013 0.00986 0.00340 
 0.098 2.15 0.36937 0.01367 0.00850 
 0.099 1.28 0.33769 0.00608 0.00405 
 0.099 2.44 0.38122 0.01220 0.00877 
 0.100 1.08 0.33206 0.00664 0.00398 
 0.101 0.62 0.29387 0.00529 0.00441 
 0.102 0.96 0.32012 0.00704 0.00704 
 0.103 1.98 0.35163 0.00598 0.00352 
 0.104 1.14 0.32845 0.00887 0.00328 
 0.105 3.00 0.35163 0.01442 0.01266 
 0.106 2.14 0.36051 0.01406 0.00757 
 0.107 2.02 0.35363 0.00990 0.00318 
 0.107 2.89 0.36865 0.01069 0.00958 
 0.108 1.39 0.33206 0.00996 0.00565 
 0.108 1.83 0.36327 0.01126 0.00618 
 0.108 2.33 0.34363 0.01718 0.00825 
 0.112 1.33 0.33988 0.00612 0.00408 
 0.113 1.83 0.35348 0.00990 0.00601 
 0.116 2.32 0.35139 0.01370 0.00808 
 0.118 0.66 0.30610 0.00490 0.00490 
 0.118 3.34 0.31387 0.01883 0.01130 
 0.119 0.74 0.31220 0.00905 0.00406 
 0.120 1.12 0.33700 0.01146 0.00539 
 0.120 2.31 0.35712 0.01143 0.00643 
 0.121 2.57 0.34901 0.00873 0.00942 
 0.122 1.59 0.34326 0.00995 0.00309 
 0.122 2.85 0.36177 0.01194 0.00760 
 0.123 1.59 0.34767 0.00556 0.00313 
 0.124 1.15 0.32884 0.00658 0.00395 
 0.126 0.94 0.32808 0.00656 0.00427 
 0.126 2.19 0.36489 0.01022 0.00328 
 0.127 0.79 0.31725 0.00888 0.00476 
 0.127 1.36 0.31027 0.01955 0.00621 
 0.127 2.19 0.35050 0.00701 0.00350 
 0.129 2.04 0.34459 0.01172 0.00586 
 0.130 2.54 0.35588 0.01317 0.00890 
 0.131 3.36 0.33947 0.01086 0.00747 
 0.132 1.26 0.32928 0.00988 0.00296 
 0.133 0.65 0.30644 0.00552 0.00429 
 0.134 1.26 0.34708 0.00694 0.00451 
 0.134 3.72 0.35916 0.01616 0.01149 
 0.136 1.69 0.34317 0.00789 0.00446 
 0.138 1.41 0.34502 0.00621 0.00414 
 0.139 0.91 0.33279 0.00832 0.00632 
 0.141 2.18 0.32804 0.01148 0.00590 
 0.142 2.19 0.34797 0.01079 0.00522 
 0.143 2.76 0.36571 0.01170 0.00914 
 0.144 1.64 0.34421 0.01033 0.00482 
 0.146 3.02 0.34852 0.01290 0.00906 
 0.147 2.63 0.35421 0.01133 0.00602 
 0.150 0.77 0.31477 0.00472 0.00346 
 0.150 1.74 0.34879 0.00977 0.00314 
 0.150 1.82 0.35465 0.00816 0.00461 
 0.150 3.27 0.35661 0.01177 0.00642 
 0.152 1.74 0.34733 0.00590 0.00347 
 0.152 2.38 0.35876 0.01040 0.00323 
 0.153 0.79 0.32693 0.00883 0.00360 
 0.153 2.39 0.35985 0.00756 0.00360 
 0.153 4.18 0.34563 0.01244 0.00933 
 0.156 1.62 0.34024 0.02041 0.00544 
 0.156 2.36 0.35096 0.00632 0.00632 
 0.157 1.31 0.33791 0.00541 0.00338 
 0.157 2.98 0.36228 0.01123 0.00869 
 0.157 3.80 0.35328 0.01095 0.00636 
 0.158 2.21 0.38690 0.03211 0.00890 
 0.161 3.27 0.32951 0.01219 0.00791 
 0.167 1.97 0.34082 0.00818 0.00443 
 0.168 1.00 0.33035 0.00595 0.00429 
 0.168 1.36 0.34548 0.01036 0.00311 
 0.171 4.59 0.32435 0.01200 0.00746 
 0.171 5.35 0.34961 0.00839 0.00909 
 0.171 5.55 0.32097 0.00963 0.00899 
 0.172 2.55 0.33200 0.00697 0.00598 
 0.172 4.29 0.34086 0.00818 0.00852 
 0.172 5.06 0.35515 0.00710 0.00817 
 0.173 1.39 0.32028 0.00577 0.00384 
 0.173 4.08 0.34753 0.00521 0.01008 
 0.174 3.20 0.37540 0.00826 0.00713 
 0.174 4.02 0.34706 0.00659 0.00764 
 0.176 1.50 0.34176 0.00615 0.00410 
 0.176 2.60 0.35162 0.00809 0.00738 
 0.176 3.50 0.35453 0.00851 0.00851 
 0.176 3.51 0.33939 0.00747 0.00713 
 0.177 0.82 0.32355 0.00744 0.00356 
 0.177 0.91 0.32512 0.00910 0.00488 
 0.177 1.10 0.35103 0.00807 0.00491 
 0.178 1.25 0.33724 0.00641 0.00405 
 0.178 3.65 0.34573 0.01106 0.00519 
 0.179 0.69 0.31268 0.00594 0.00469 
 0.179 1.43 0.32510 0.00520 0.00293 
 0.179 2.51 0.34092 0.01057 0.00477 
 0.179 3.30 0.35290 0.00988 0.00706 
 0.183 2.57 0.34746 0.01042 0.00347 
 0.185 1.87 0.33393 0.00968 0.00301 
 0.185 2.58 0.33889 0.00644 0.00373 
 0.185 3.01 0.36625 0.01135 0.00513 
 0.185 4.22 0.34692 0.01075 0.00486 
 0.187 1.87 0.34294 0.00583 0.00343 
 0.187 1.88 0.34220 0.01027 0.00445 
 0.188 0.88 0.32581 0.00489 0.00261 
 0.188 1.88 0.35800 0.01074 0.00573 
 0.189 2.15 0.35001 0.00560 0.00455 
 0.190 2.74 0.34348 0.00687 0.00550 
 0.196 2.65 0.33962 0.01392 0.00747 
 0.196 5.14 0.35041 0.00771 0.00701 
 0.201 3.62 0.33628 0.00908 0.00572 
 0.202 1.54 0.32751 0.00491 0.00262 
 0.203 3.92 0.33864 0.00610 0.00576 
 0.208 4.00 0.33321 0.01033 0.00400 
 0.209 1.46 0.33159 0.00995 0.00298 
 0.209 2.04 0.31706 0.00983 0.00507 
 0.209 2.31 0.34507 0.00518 0.00414 
 0.210 4.03 0.36028 0.03026 0.00829 
 0.211 2.96 0.34308 0.00549 0.00480 
 0.213 1.46 0.33726 0.00641 0.00337 
 0.214 1.47 0.33795 0.01081 0.00439 
 0.214 5.33 0.33270 0.01198 0.00798 
 0.215 4.63 0.31944 0.00990 0.00383 
 0.218 1.05 0.32237 0.00613 0.00419 
 0.219 1.28 0.32192 0.00708 0.00354 
 0.220 1.99 0.34351 0.02508 0.00618 
 0.221 1.30 0.33302 0.00633 0.00433 
 0.222 6.18 0.32562 0.00554 0.00586 
 0.223 5.70 0.32333 0.00679 0.00582 
 0.224 0.87 0.32066 0.00738 0.00353 
 0.224 1.58 0.33095 0.00596 0.00430 
 0.224 2.82 0.33113 0.01027 0.00397 
 0.226 2.00 0.33441 0.00970 0.00301 
 0.227 3.37 0.33368 0.01034 0.00367 
 0.229 0.72 0.30204 0.00574 0.00453 
 0.229 1.99 0.33275 0.00665 0.00333 
 0.233 2.22 0.32457 0.00876 0.00487 
 0.233 4.37 0.34292 0.00823 0.00514 
 0.234 1.54 0.32960 0.01022 0.00461 
 0.235 0.99 0.31662 0.00475 0.00222 
 0.236 2.50 0.33630 0.00504 0.00336 
 0.236 4.07 0.33135 0.00895 0.00464 
 0.237 2.10 0.33396 0.00968 0.00401 
 0.237 3.10 0.32367 0.01327 0.00583 
 0.239 2.82 0.32459 0.00811 0.00357 
 0.240 1.02 0.30967 0.00929 0.00434 
 0.241 3.25 0.33705 0.00775 0.00404 
 0.243 1.73 0.32888 0.00526 0.00362 
 0.243 7.31 0.27444 0.02113 0.00659 
 0.248 5.03 0.31681 0.00950 0.00317 
 0.249 6.09 0.26916 0.01615 0.00592 
 0.251 4.45 0.31369 0.01004 0.00314 
 0.251 6.26 0.32609 0.00978 0.00554 
 0.253 1.77 0.32733 0.00491 0.00229 
 0.255 2.88 0.31998 0.00512 0.00384 
 0.256 2.38 0.32147 0.00836 0.00418 
 0.257 7.50 0.30261 0.00696 0.00605 
 0.257 7.88 0.29877 0.00568 0.00687 
 0.258 4.70 0.30564 0.00642 0.00428 
 0.259 3.32 0.30872 0.01204 0.00494 
 0.259 5.94 0.31144 0.00623 0.00561 
 0.260 1.04 0.31265 0.00344 0.00219 
 0.260 4.82 0.30237 0.00907 0.00575 
 0.261 5.22 0.30112 0.00452 0.00813 
 0.262 5.42 0.30938 0.00526 0.00433 
 0.263 4.25 0.30690 0.00491 0.00399 
 0.264 4.77 0.30994 0.00620 0.00496 
 0.266 1.08 0.31388 0.00596 0.00408 
 0.266 3.48 0.30956 0.00526 0.00341 
 0.267 2.71 0.31102 0.00560 0.00280 
 0.267 3.49 0.31132 0.00560 0.00405 
 0.268 1.46 0.31615 0.00759 0.00316 
 0.270 1.05 0.30144 0.00693 0.00422 
 0.271 1.35 0.31606 0.00601 0.00411 
 0.271 1.55 0.31447 0.00692 0.00283 
 0.273 3.09 0.30827 0.00925 0.00308 
 0.273 6.68 0.30301 0.00939 0.00515 
 0.274 0.90 0.30016 0.00720 0.00330 
 0.274 1.64 0.31591 0.00569 0.00411 
