#: table_doi: 10.17182/hepdata.27033.v1/t6
#: name: Table 6
#: description: Values of A2 and X*G2 from proton and deuterium target data at mean electron scattering angle of 10.5 degrees and incident energy 32.3 GeV. Errors shown are statistical only.

#: data_file: Table6.yaml
#: keyword reactions: E- DEUT --> E- X | E- P --> E- X
#: keyword observables: A2 | G2
#: keyword phrases: Inclusive | Spin Dependent Structure Function | Virtual Photon Asymmetry | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 7.841
#: RE,E- P --> E- X
#: THETA(P=3) [deg],10.5
#: E(P=1) [GeV],32.3
#: SQRT(S) [GeV],7.841
'X','MEAN(NAME=Q**2) [GEV**2]','A2','error +','error -'
0.155,7.1,0.027,0.013,-0.013
0.245,9.9,0.026,0.012,-0.012
0.38,13.1,0.033,0.019,-0.019
0.58,16.3,0.0,0.048,-0.048
0.78,18.4,-0.146,0.191,-0.191

#: SYS,0.0016-0.0012*X////
#: RE,E- P --> E- X
#: THETA(P=3) [deg],10.5
#: E(P=1) [GeV],32.3
#: SQRT(S) [GeV],7.841
'X','MEAN(NAME=Q**2) [GEV**2]','X*G2','error +','error -'
0.155,7.1,0.001,0.019,-0.019
0.245,9.9,-0.029,0.013,-0.013
0.38,13.1,-0.034,0.01,-0.01
0.58,16.3,-0.024,0.008,-0.008
0.78,18.4,-0.008,0.004,-0.004

#: RE,E- DEUT --> E- X
#: E(P=1) [GeV],32.3
#: THETA(P=3) [deg],10.5
'X','MEAN(NAME=Q**2) [GEV**2]','A2','error +','error -'
0.155,7.1,0.025,0.022,-0.022
0.245,9.9,0.006,0.021,-0.021
0.38,13.1,-0.01,0.035,-0.035
0.58,16.3,0.215,0.105,-0.105
0.78,18.4,-0.527,0.424,-0.424

#: SYS,0.0009-0.0009*X////
#: RE,E- DEUT --> E- X
#: E(P=1) [GeV],32.3
#: THETA(P=3) [deg],10.5
'X','MEAN(NAME=Q**2) [GEV**2]','X*G2','error +','error -'
0.155,7.1,0.019,0.029,-0.029
0.245,9.9,-0.016,0.018,-0.018
0.38,13.1,-0.028,0.015,-0.015
0.58,16.3,0.013,0.012,-0.012
0.78,18.4,-0.011,0.007,-0.007

