#: table_doi: 10.17182/hepdata.27033.v1/t4
#: name: Table 4
#: description: Values of A2 and X*G2 from proton and deuterium target data at mean electron scattering angle of 2.75 degrees and incident energy 32.3 GeV. Errors shown are statistical only.

#: data_file: Table4.yaml
#: keyword reactions: E- DEUT --> E- X | E- P --> E- X
#: keyword observables: A2 | G2
#: keyword phrases: Inclusive | Spin Dependent Structure Function | Virtual Photon Asymmetry | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 7.841
#: RE,E- P --> E- X
#: THETA(P=3) [deg],2.75
#: E(P=1) [GeV],32.3
#: SQRT(S) [GeV],7.841
'X','MEAN(NAME=Q**2) [GEV**2]','A2','error +','error -'
0.021,0.8,-0.001,0.008,-0.008
0.026,0.9,0.002,0.006,-0.006
0.038,1.1,0.007,0.005,-0.005
0.061,1.3,0.019,0.006,-0.006
0.098,1.6,0.021,0.009,-0.009
0.155,1.8,0.045,0.013,-0.013
0.245,2.0,0.076,0.02,-0.02
0.38,2.1,0.209,0.053,-0.053

#: SYS,0.0016-0.0012*X////
#: RE,E- P --> E- X
#: THETA(P=3) [deg],2.75
#: E(P=1) [GeV],32.3
#: SQRT(S) [GeV],7.841
'X','MEAN(NAME=Q**2) [GEV**2]','X*G2','error +','error -'
0.021,0.8,-0.007,0.02,-0.02
0.026,0.9,-0.004,0.014,-0.014
0.038,1.1,0.001,0.009,-0.009
0.061,1.3,0.009,0.008,-0.008
0.098,1.6,-0.004,0.008,-0.008
0.155,1.8,-0.008,0.009,-0.009
0.245,2.0,-0.018,0.009,-0.009
0.38,2.1,-0.004,0.017,-0.017

#: RE,E- DEUT --> E- X
#: E(P=1) [GeV],32.3
#: THETA(P=3) [deg],2.75
'X','MEAN(NAME=Q**2) [GEV**2]','A2','error +','error -'
0.021,0.8,0.003,0.014,-0.014
0.026,0.9,-0.006,0.011,-0.011
0.038,1.1,0.003,0.008,-0.008
0.061,1.3,0.015,0.01,-0.01
0.098,1.6,-0.004,0.014,-0.014
0.155,1.8,0.045,0.021,-0.021
0.245,2.0,0.063,0.034,-0.034
0.38,2.1,0.076,0.095,-0.095

#: SYS,0.0009-0.0009*X////
#: RE,E- DEUT --> E- X
#: E(P=1) [GeV],32.3
#: THETA(P=3) [deg],2.75
'X','MEAN(NAME=Q**2) [GEV**2]','X*G2','error +','error -'
0.021,0.8,0.006,0.031,-0.031
0.026,0.9,-0.01,0.022,-0.022
0.038,1.1,0.006,0.014,-0.014
0.061,1.3,0.015,0.013,-0.013
0.098,1.6,-0.011,0.013,-0.013
0.155,1.8,0.015,0.013,-0.013
0.245,2.0,0.003,0.014,-0.014
0.38,2.1,-0.011,0.025,-0.025

