#: table_doi: 10.17182/hepdata.27033.v1/t1
#: name: Table 1
#: description: Values of A2 and X*G2 from proton and deuterium target data at mean electron scattering angle of 2.75 degrees and incident energy 29.1 GeV. Errors shown are statistical only.

#: data_file: Table1.yaml
#: keyword reactions: E- DEUT --> E- X | E- P --> E- X
#: keyword observables: A2 | G2
#: keyword phrases: Inclusive | Spin Dependent Structure Function | Virtual Photon Asymmetry | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 7.448
#: RE,E- P --> E- X
#: THETA(P=3) [deg],2.75
#: E(P=1) [GeV],29.1
#: SQRT(S) [GeV],7.448
'X','MEAN(NAME=Q**2) [GEV**2]','A2','error +','error -'
0.021,0.8,-0.015,0.012,-0.012
0.026,0.9,-0.009,0.008,-0.008
0.038,1.1,0.016,0.006,-0.006
0.061,1.3,0.026,0.008,-0.008
0.098,1.6,0.014,0.01,-0.01
0.155,1.8,0.061,0.015,-0.015
0.245,2.0,0.098,0.024,-0.024
0.38,2.1,0.258,0.064,-0.064

#: SYS,0.0016-0.0012*X////
#: RE,E- P --> E- X
#: THETA(P=3) [deg],2.75
#: E(P=1) [GeV],29.1
#: SQRT(S) [GeV],7.448
'X','MEAN(NAME=Q**2) [GEV**2]','X*G2','error +','error -'
0.021,0.8,-0.037,0.026,-0.026
0.026,0.9,-0.026,0.015,-0.015
0.038,1.1,0.02,0.01,-0.01
0.061,1.3,0.017,0.009,-0.009
0.098,1.6,-0.011,0.009,-0.009
0.155,1.8,0.005,0.01,-0.01
0.245,2.0,-0.005,0.01,-0.01
0.38,2.1,0.007,0.018,-0.018

#: RE,E- DEUT --> E- X
#: E(P=1) [GeV],29.1
#: THETA(P=3) [deg],2.75
'X','MEAN(NAME=Q**2) [GEV**2]','A2','error +','error -'
0.021,0.8,0.003,0.017,-0.017
0.026,0.9,0.01,0.011,-0.011
0.038,1.1,-0.013,0.009,-0.009
0.061,1.3,-0.017,0.011,-0.011
0.098,1.6,0.025,0.015,-0.015
0.155,1.8,0.008,0.024,-0.024
0.245,2.0,0.058,0.038,-0.038
0.38,2.1,-0.008,0.105,-0.105

#: SYS,0.0009-0.0009*X////
#: RE,E- DEUT --> E- X
#: E(P=1) [GeV],29.1
#: THETA(P=3) [deg],2.75
'X','MEAN(NAME=Q**2) [GEV**2]','X*G2','error +','error -'
0.021,0.8,0.009,0.036,-0.036
0.026,0.9,0.02,0.021,-0.021
0.038,1.1,-0.021,0.014,-0.014
0.061,1.3,-0.024,0.013,-0.013
0.098,1.6,0.016,0.013,-0.013
0.155,1.8,-0.005,0.013,-0.013
0.245,2.0,0.002,0.014,-0.014
0.38,2.1,-0.031,0.024,-0.024

