 -3.049 -.641 .00089 .229 .140 .023 .015
 -3.049 -.505 .00089 .313 .179 .014 .009
 -3.049 -.369 .00089 .428 .271 .013 .024
 -3.049 -.233 .00089 .585 .367 .024 .028
 -2.907 -.641 .00124 .229 .124 .022 .051
 -2.907 -.505 .00124 .313 .187 .010 .010
 -2.907 -.369 .00124 .428 .228 .009 .012
 -2.907 -.233 .00124 .585 .301 .011 .014
 -2.907 -.097 .00124 .800 .341 .017 .019
 -2.756 -.641 .00175 .229 .088 .019 .054
 -2.756 -.505 .00175 .313 .187 .015 .017
 -2.756 -.369 .00175 .428 .232 .011 .010
 -2.756 -.233 .00175 .585 .245 .012 .013
 -2.756 -.097 .00175 .800 .320 .015 .015
 -2.609 -.505 .00246 .313 .149 .012 .015
 -2.609 -.369 .00246 .428 .204 .009 .009
 -2.609 -.233 .00246 .585 .262 .009 .008
 -2.609 -.097 .00246 .800 .306 .012 .010
 -2.609 .039 .00246 1.094 .357 .016 .012
 -2.609 .175 .00246 1.496 .434 .024 .021
 -2.432 -.369 .00370 .428 .194 .010 .010
 -2.432 -.233 .00370 .585 .245 .009 .008
 -2.432 -.097 .00370 .800 .291 .010 .009
 -2.432 .039 .00370 1.094 .317 .014 .009
 -2.432 .175 .00370 1.496 .382 .018 .011
 -2.432 .311 .00370 2.046 .445 .028 .017
 -2.284 -.369 .00520 .428 .178 .012 .015
 -2.284 -.233 .00520 .585 .238 .010 .012
 -2.284 -.097 .00520 .800 .270 .011 .010
 -2.284 .039 .00520 1.094 .299 .014 .011
 -2.284 .175 .00520 1.496 .337 .019 .007
 -2.284 .311 .00520 2.046 .365 .024 .010
 -2.284 .447 .00520 2.799 .441 .033 .018
 -2.159 -.097 .00693 .800 .272 .011 .009
 -2.159 .039 .00693 1.094 .301 .016 .012
 -2.159 .175 .00693 1.496 .329 .018 .013
 -2.159 .311 .00693 2.046 .390 .022 .014
 -2.159 .447 .00693 2.799 .412 .025 .013
 -2.159 .583 .00693 3.828 .482 .034 .022
 -2.049 -.097 .00893 .800 .262 .012 .014
 -2.049 .039 .00893 1.094 .281 .015 .010
 -2.049 .175 .00893 1.496 .327 .020 .010
 -2.049 .311 .00893 2.046 .422 .025 .011
 -2.049 .447 .00893 2.799 .400 .029 .020
 -2.049 .583 .00893 3.828 .490 .033 .017
 -1.912 .175 .01225 1.496 .313 .015 .017
 -1.912 .311 .01225 2.046 .374 .018 .010
 -1.912 .447 .01225 2.799 .377 .023 .008
 -1.912 .583 .01225 3.828 .408 .023 .011
 -1.912 .719 .01225 5.236 .403 .027 .015
 -1.912 .855 .01225 7.161 .421 .045 .016
 -1.762 .175 .01730 1.496 .336 .017 .011
 -1.762 .311 .01730 2.046 .340 .019 .010
 -1.762 .447 .01730 2.799 .361 .026 .018
 -1.762 .583 .01730 3.828 .398 .027 .009
 -1.762 .719 .01730 5.236 .437 .029 .007
 -1.762 .855 .01730 7.161 .435 .035 .014
 -1.762 .991 .01730 9.795 .499 .046 .022
 -1.611 .447 .02449 2.799 .347 .020 .014
 -1.611 .583 .02449 3.828 .320 .023 .006
 -1.611 .719 .02449 5.236 .394 .026 .007
 -1.611 .855 .02449 7.161 .450 .025 .014
 -1.611 .991 .02449 9.795 .409 .035 .014
 -1.611 1.127 .02449 13.397 .521 .050 .031
 -1.461 .583 .03459 3.828 .336 .026 .020
 -1.461 .719 .03459 5.236 .434 .028 .020
 -1.461 .855 .03459 7.161 .411 .030 .009
 -1.461 .991 .03459 9.795 .456 .038 .011
 -1.461 1.127 .03459 13.397 .464 .046 .011
 -1.310 .719 .04898 5.236 .383 .023 .008
 -1.310 .855 .04898 7.161 .350 .023 .007
 -1.310 .991 .04898 9.795 .430 .028 .015
 -1.310 1.127 .04898 13.397 .415 .030 .009
 -1.310 1.263 .04898 18.323 .470 .047 .015
 -1.310 1.399 .04898 25.061 .448 .083 .028
 -1.160 .991 .06918 9.795 .362 .038 .006
 -1.160 1.127 .06918 13.397 .390 .034 .012
 -1.160 1.263 .06918 18.323 .378 .045 .015
 -1.160 1.399 .06918 25.061 .451 .060 .012
 -1.160 1.535 .06918 34.277 .183 .141 .012
 -1.009 .991 .09795 9.795 .367 .026 .017
 -1.009 1.127 .09795 13.397 .454 .029 .010
 -1.009 1.263 .09795 18.323 .307 .039 .012
 -1.009 1.399 .09795 25.061 .394 .043 .017
 -1.009 1.535 .09795 34.277 .265 .081 .010
 -.762 1.263 .17298 18.323 .302 .025 .011
 -.762 1.399 .17298 25.061 .271 .029 .008
 -.762 1.535 .17298 34.277 .304 .040 .009
 -.762 1.671 .17298 46.881 .313 .067 .020
 -.412 1.671 .38726 46.881 .205 .049 .008
 -.412 1.808 .38726 64.269 .191 .065 .022
