"SUPPLEMENTAL MATERIAL FOR PRC ARTICLE ""MEASUREMENT OF THE NEARLY FREE NEUTRON STRUCTURE FUNCTION USING SPECTATOR TAGGING IN INELASTIC 2H(E,E'PS)X SCATTERING WITH CLAS"" BY S. TKACHENKO ET AL."								
								
*****     Ratio EXP/SIMULATION vs. cos(theta_pq) for 4 GeV beam energy and 3 bins in Q2 times 5 bins in W* times 4 bins in p_s  (see Fig. 12)   *****								
								
Q2	0.93	"GeV/c,"	W	1.17	"GeV,"	p_s	0.078	GeV/c
								
	Cosine	Ratio	stat.	syst.				
Q2	0.93	"GeV/c,"	W	1.73	"GeV,"	p_s	0.11	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.177	0.04	0.138				
	-0.7	1.135	0.033	0.135				
	-0.5	1.105	0.031	0.133				
	-0.3	0.932	0.029	0.115				
	-0.1	0.917	0.029	0.114				
	0.1	0.937	0.03	0.119				
	0.3	0.993	0.032	0.128				
	0.5	1.062	0.033	0.139				
	0.7	1.114	0.036	0.148				
	0.9	1.256	0.043	0.168				
								
Q2	0.93	"GeV/c,"	W	1.73	"GeV,"	p_s	0.135	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.217	0.05	0.144				
	-0.7	1.116	0.041	0.132				
	-0.5	1.035	0.039	0.125				
	-0.3	0.925	0.038	0.115				
	-0.1	0.871	0.037	0.11				
	0.1	0.931	0.038	0.12				
	0.3	0.963	0.039	0.126				
	0.5	1.101	0.041	0.147				
	0.7	1.231	0.047	0.167				
	0.9	1.233	0.052	0.168				
								
Q2	0.93	"GeV/c,"	W	2.03	"GeV,"	p_s	0.078	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.19	0.071	0.141				
	-0.7	1.068	0.029	0.121				
	-0.5	1.048	0.022	0.118				
	-0.3	1.018	0.019	0.115				
	-0.1	1.036	0.019	0.117				
	0.1	1.002	0.019	0.114				
	0.3	1.113	0.021	0.127				
	0.5	1.138	0.024	0.13				
	0.7	1.215	0.033	0.14				
	0.9	1.155	0.062	0.137				
								
Q2	0.93	"GeV/c,"	W	2.03	"GeV,"	p_s	0.093	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.035	0.032	0.118				
	-0.7	1.067	0.021	0.12				
	-0.5	1.021	0.02	0.115				
	-0.3	0.987	0.02	0.112				
	-0.1	0.962	0.02	0.11				
	0.1	0.92	0.019	0.105				
	0.3	1.018	0.021	0.117				
	0.5	1.089	0.022	0.125				
	0.7	1.131	0.025	0.13				
	0.9	1.134	0.034	0.132				
								
Q2	0.93	"GeV/c,"	W	2.03	"GeV,"	p_s	0.11	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.078	0.031	0.122				
	-0.7	1.13	0.025	0.128				
	-0.5	1.078	0.024	0.122				
	-0.3	0.931	0.022	0.106				
	-0.1	0.898	0.023	0.103				
	0.1	0.885	0.023	0.102				
	0.3	0.95	0.024	0.11				
	0.5	1.072	0.025	0.124				
	0.7	1.239	0.029	0.144				
	0.9	1.176	0.035	0.137				
								
Q2	0.93	"GeV/c,"	W	2.03	"GeV,"	p_s	0.135	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.194	0.04	0.136				
	-0.7	1.13	0.032	0.128				
	-0.5	0.992	0.03	0.112				
	-0.3	0.953	0.029	0.109				
	-0.1	0.862	0.029	0.099				
	0.1	0.896	0.03	0.104				
	0.3	0.949	0.031	0.111				
	0.5	1.046	0.032	0.123				
	0.7	1.23	0.035	0.144				
	0.9	1.294	0.043	0.153				
								
Q2	0.93	"GeV/c,"	W	2.44	"GeV,"	p_s	0.078	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	0.994	0.103	0.129				
	-0.7	1.099	0.036	0.126				
	-0.5	0.974	0.022	0.111				
	-0.3	0.958	0.019	0.109				
	-0.1	0.976	0.018	0.111				
	0.1	0.997	0.018	0.113				
	0.3	1.05	0.019	0.119				
	0.5	1.088	0.021	0.123				
	0.7	1.112	0.029	0.126				
	0.9	1.034	0.069	0.123				
								
Q2	0.93	"GeV/c,"	W	2.44	"GeV,"	p_s	0.093	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	0.894	0.039	0.103				
	-0.7	1.013	0.024	0.115				
	-0.5	0.964	0.021	0.109				
	-0.3	0.894	0.02	0.101				
	-0.1	0.87	0.019	0.098				
	0.1	0.871	0.019	0.099				
	0.3	0.947	0.019	0.107				
	0.5	1.016	0.019	0.115				
	0.7	1.069	0.021	0.121				
	0.9	1.017	0.029	0.115				
								
Q2	0.93	"GeV/c,"	W	2.44	"GeV,"	p_s	0.11	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	0.932	0.038	0.107				
	-0.7	1.104	0.031	0.125				
	-0.5	0.937	0.026	0.106				
	-0.3	0.796	0.023	0.09				
	-0.1	0.822	0.022	0.093				
	0.1	0.851	0.022	0.096				
	0.3	0.852	0.021	0.096				
	0.5	1.033	0.022	0.117				
	0.7	1.177	0.024	0.133				
	0.9	1.087	0.029	0.123				
								
Q2	0.93	"GeV/c,"	W	2.44	"GeV,"	p_s	0.135	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	0.988	0.056	0.114				
	-0.7	1.02	0.041	0.116				
	-0.5	0.93	0.034	0.106				
	-0.3	0.801	0.03	0.091				
	-0.1	0.777	0.028	0.088				
	0.1	0.744	0.027	0.085				
	0.3	0.833	0.026	0.094				
	0.5	0.988	0.027	0.112				
	0.7	1.285	0.03	0.145				
	0.9	1.329	0.037	0.151				
								
Q2	1.66	"GeV/c,"	W	1.17	"GeV,"	p_s	0.078	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.401	0.077	0.196				
	-0.7	1.281	0.057	0.178				
	-0.5	1.227	0.05	0.168				
	-0.3	1.404	0.049	0.191				
	-0.1	1.351	0.047	0.183				
	0.1	1.265	0.047	0.172				
	0.3	1.346	0.05	0.182				
	0.5	1.425	0.054	0.193				
	0.7	1.603	0.061	0.215				
	0.9	1.797	0.078	0.242				
								
Q2	1.66	"GeV/c,"	W	1.17	"GeV,"	p_s	0.093	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.393	0.058	0.194				
	-0.7	1.396	0.052	0.192				
	-0.5	1.181	0.047	0.163				
	-0.3	1.313	0.047	0.181				
	-0.1	1.213	0.044	0.166				
	0.1	1.218	0.045	0.167				
	0.3	1.09	0.043	0.15				
	0.5	1.31	0.048	0.177				
	0.7	1.483	0.053	0.198				
	0.9	1.662	0.059	0.221				
								
Q2	1.66	"GeV/c,"	W	1.17	"GeV,"	p_s	0.11	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.581	0.067	0.222				
	-0.7	1.417	0.06	0.198				
	-0.5	1.328	0.054	0.184				
	-0.3	1.316	0.053	0.182				
	-0.1	1.198	0.052	0.166				
	0.1	1.233	0.055	0.17				
	0.3	1.123	0.051	0.155				
	0.5	1.411	0.057	0.192				
	0.7	1.461	0.061	0.195				
	0.9	1.549	0.061	0.205				
								
Q2	1.66	"GeV/c,"	W	1.17	"GeV,"	p_s	0.135	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.586	0.091	0.226				
	-0.7	1.582	0.081	0.223				
	-0.5	1.345	0.072	0.19				
	-0.3	1.339	0.07	0.188				
	-0.1	1.147	0.065	0.161				
	0.1	1.13	0.066	0.158				
	0.3	1.351	0.071	0.187				
	0.5	1.442	0.073	0.197				
	0.7	1.295	0.073	0.174				
	0.9	1.37	0.068	0.182				
								
Q2	1.66	"GeV/c,"	W	1.48	"GeV,"	p_s	0.078	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.245	0.066	0.17				
	-0.7	1.199	0.041	0.161				
	-0.5	1.169	0.035	0.156				
	-0.3	1.135	0.032	0.152				
	-0.1	1.155	0.031	0.155				
	0.1	1.157	0.031	0.155				
	0.3	1.179	0.033	0.159				
	0.5	1.143	0.036	0.154				
	0.7	1.185	0.04	0.159				
	0.9	1.297	0.06	0.178				
								
Q2	1.66	"GeV/c,"	W	1.48	"GeV,"	p_s	0.093	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.125	0.041	0.151				
	-0.7	1.209	0.035	0.162				
	-0.5	1.108	0.031	0.15				
	-0.3	1.073	0.03	0.145				
	-0.1	1.041	0.03	0.141				
	0.1	0.968	0.029	0.131				
	0.3	1.072	0.031	0.145				
	0.5	1.051	0.033	0.143				
	0.7	1.141	0.036	0.154				
	0.9	1.14	0.041	0.162				
								
Q2	1.66	"GeV/c,"	W	1.48	"GeV,"	p_s	0.11	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.264	0.045	0.169				
	-0.7	1.211	0.04	0.164				
	-0.5	1.174	0.037	0.16				
	-0.3	1.045	0.035	0.142				
	-0.1	1.039	0.035	0.142				
	0.1	1.028	0.036	0.141				
	0.3	1.008	0.036	0.138				
	0.5	1.078	0.038	0.148				
	0.7	1.186	0.042	0.161				
	0.9	1.22	0.043	0.165				
								
Q2	1.66	"GeV/c,"	W	1.48	"GeV,"	p_s	0.135	GeV/c
								
	Cosine	Ratio	stat.	syst.				
	-0.9	1.385	0.061	0.185				
	-0.7	1.182	0.049	0.16				
	-0.5	1.029	0.047	0.141				
	-0.3	1.002	0.044	0.138				
	-0.1	0.977	0.045	0.135				
	0.1	1.021	0.046	0.141				
	0.3	1.055	0.047	0.146				
	0.5	1.083	0.046	0.15				
	0.7	1.05	0.049	0.144				
