Path: /HepData/7076/d156-x1-y1
A1 and g1/F1 for the DEUT target at incident energy 5.7000 GeV and W = 1.5150 GeV
Location: F 1, 2, 3, 4
ELAB : 5.7 GeV
RE : E- DEUT --> E- X
W : 1.515 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	0.3334	0.3334	0.3334		0.707	0.707	0.707	0.8283	+0.5058	-0.5058	+0.1084	-0.1084	0.5403	+0.3181	-0.3181	+0.0636	-0.0636
	0.3739	0.3739	0.3739		0.844	0.844	0.844	-0.3222	+0.5403	-0.5403	+0.0805	-0.0805	-0.1781	+0.3334	-0.3334	+0.04	-0.04
	0.4168	0.4168	0.4168		1.01	1.01	1.01	0.4562	+0.6152	-0.6152	+0.0928	-0.0928	0.2992	+0.3743	-0.3743	+0.0483	-0.0483
	0.4592	0.4592	0.4592		1.2	1.2	1.2	1.2226	+0.6983	-0.6983	+0.1706	-0.1706	0.7602	+0.4213	-0.4213	+0.0991	-0.0991
	0.5046	0.5046	0.5046		1.44	1.44	1.44	0.5821	+0.5277	-0.5277	+0.1249	-0.1249	0.3823	+0.3202	-0.3202	+0.0695	-0.0695
	0.5475	0.5475	0.5475		1.71	1.71	1.71	0.6778	+0.5385	-0.5385	+0.1581	-0.1581	0.44	+0.3283	-0.3283	+0.0925	-0.0925
	0.5919	0.5919	0.5919		2.05	2.05	2.05	0.6153	+0.5742	-0.5742	+0.1591	-0.1591	0.4113	+0.3534	-0.3534	+0.0949	-0.0949
	0.6332	0.6332	0.6332		2.44	2.44	2.44	0.33	+0.6372	-0.6372	+0.1172	-0.1172	0.2295	+0.3982	-0.3982	+0.0709	-0.0709
	0.6738	0.6738	0.6738		2.92	2.92	2.92	0.0764	+0.693	-0.693	+0.0713	-0.0713	0.075	+0.4417	-0.4417	+0.043	-0.043
	0.7111	0.7111	0.7111		3.48	3.48	3.48	0.7587	+0.8943	-0.8943	+0.1217	-0.1217	0.5229	+0.5857	-0.5857	+0.0793	-0.0793
	0.7464	0.7464	0.7464		4.16	4.16	4.16	1.9764	+0.9595	-0.9595	+0.3045	-0.3045	1.3456	+0.6463	-0.6463	+0.2077	-0.2077

