Path: /HepData/7076/d221-x1-y1
A1 and g1/F1 for the DEUT target at incident energy 5.7000 GeV and W = 1.9450 GeV
Location: F 1, 2, 3, 4
ELAB : 5.7 GeV
RE : E- DEUT --> E- X
W : 1.945 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
x	xlow	xhigh	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
0.1959	0.1959	0.1959	0.707	0.707	0.707	-0.0841	+0.3172	-0.3172	+0.0609	-0.0609	-0.0478	+0.2601	-0.2601	+0.046	-0.046
0.2253	0.2253	0.2253	0.844	0.844	0.844	-0.3477	+0.3368	-0.3368	+0.0431	-0.0431	-0.2573	+0.2714	-0.2714	+0.0286	-0.0286
0.2582	0.2582	0.2582	1.01	1.01	1.01	0.3484	+0.359	-0.359	+0.054	-0.054	0.3003	+0.2844	-0.2844	+0.0379	-0.0379
0.2926	0.2926	0.2926	1.2	1.2	1.2	-0.4215	+0.3864	-0.3864	+0.0857	-0.0857	-0.3041	+0.3015	-0.3015	+0.0638	-0.0638
0.3317	0.3317	0.3317	1.44	1.44	1.44	-0.1905	+0.2605	-0.2605	+0.035	-0.035	-0.1225	+0.2024	-0.2024	+0.0194	-0.0194
0.3708	0.3708	0.3708	1.71	1.71	1.71	0.1574	+0.2537	-0.2537	+0.0393	-0.0393	0.1485	+0.195	-0.195	+0.0242	-0.0242
0.414	0.414	0.414	2.05	2.05	2.05	-0.1409	+0.2787	-0.2787	+0.0457	-0.0457	-0.079	+0.2124	-0.2124	+0.0315	-0.0315
0.4568	0.4568	0.4568	2.44	2.44	2.44	0.5317	+0.3059	-0.3059	+0.0861	-0.0861	0.4328	+0.2321	-0.2321	+0.0648	-0.0648
0.5016	0.5016	0.5016	2.92	2.92	2.92	-0.1051	+0.3444	-0.3444	+0.0626	-0.0626	-0.0532	+0.2609	-0.2609	+0.0466	-0.0466
0.5453	0.5453	0.5453	3.48	3.48	3.48	0.0182	+0.4311	-0.4311	+0.0339	-0.0339	0.0373	+0.3288	-0.3288	+0.025	-0.025
0.5891	0.5891	0.5891	4.16	4.16	4.16	-0.4771	+0.5003	-0.5003	+0.0664	-0.0664	-0.3448	+0.3838	-0.3838	+0.0523	-0.0523

