Path: /HepData/7076/d2-x1-y1
A1 and g1/F1 for the P target at incident energy 1.6000 GeV and W = 1.1500 GeV
Location: F 1, 2, 3, 4
ELAB : 1.6 GeV
RE : E- P --> E- X
W : 1.15 GeV
sqrts : 1.15 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
x	xlow	xhigh	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
0.1011	0.1011	0.1011	0.0496	0.0496	0.0496	-0.4909	+0.4117	-0.4117	+0.2283	-0.2283	-0.3474	+0.2391	-0.2391	+0.1036	-0.1036
0.1184	0.1184	0.1184	0.0592	0.0592	0.0592	-0.017	+0.2482	-0.2482	+0.2159	-0.2159	-0.081	+0.1357	-0.1357	+0.0937	-0.0937
0.1382	0.1382	0.1382	0.0707	0.0707	0.0707	0.4198	+0.2787	-0.2787	+0.2212	-0.2212	0.1331	+0.1432	-0.1432	+0.0897	-0.0897
0.1607	0.1607	0.1607	0.0844	0.0844	0.0844	-0.3449	+0.2601	-0.2601	+0.2402	-0.2402	-0.2479	+0.1255	-0.1255	+0.0804	-0.0804
0.1864	0.1864	0.1864	0.101	0.101	0.101	-0.1082	+0.2361	-0.2361	+0.2353	-0.2353	-0.1274	+0.107	-0.107	+0.0751	-0.0751
0.214	0.214	0.214	0.12	0.12	0.12	-0.1576	+0.2379	-0.2379	+0.2345	-0.2345	-0.1434	+0.1018	-0.1018	+0.0692	-0.0692
0.2462	0.2462	0.2462	0.144	0.144	0.144	0.3359	+0.2377	-0.2377	+0.2302	-0.2302	0.0625	+0.096	-0.096	+0.0728	-0.0728
0.2795	0.2795	0.2795	0.171	0.171	0.171	-0.3239	+0.2364	-0.2364	+0.2316	-0.2316	-0.1955	+0.0909	-0.0909	+0.0613	-0.0613
0.3174	0.3174	0.3174	0.205	0.205	0.205	-0.1307	+0.1813	-0.1813	+0.2286	-0.2286	-0.1168	+0.0666	-0.0666	+0.0589	-0.0589
0.3563	0.3563	0.3563	0.244	0.244	0.244	0.0042	+0.1545	-0.1545	+0.2299	-0.2299	-0.0655	+0.0547	-0.0547	+0.0594	-0.0594
0.3985	0.3985	0.3985	0.292	0.292	0.292	0.019	+0.1327	-0.1327	+0.2323	-0.2323	-0.059	+0.0456	-0.0456	+0.0596	-0.0596
0.4412	0.4412	0.4412	0.348	0.348	0.348	0.158	+0.1296	-0.1296	+0.2248	-0.2248	-0.0114	+0.0437	-0.0437	+0.06	-0.06
0.4855	0.4855	0.4855	0.416	0.416	0.416	0.0386	+0.1417	-0.1417	+0.2033	-0.2033	-0.0525	+0.0474	-0.0474	+0.0517	-0.0517
0.5295	0.5295	0.5295	0.496	0.496	0.496	-0.0258	+0.1184	-0.1184	+0.1904	-0.1904	-0.0758	+0.0397	-0.0397	+0.0485	-0.0485
0.5732	0.5732	0.5732	0.592	0.592	0.592	-0.0582	+0.13	-0.13	+0.1764	-0.1764	-0.085	+0.0441	-0.0441	+0.0479	-0.0479

