Path: /HepData/7076/d149-x1-y1
A1 and g1/F1 for the DEUT target at incident energy 1.6000 GeV and W = 1.4850 GeV
Location: F 1, 2, 3, 4
ELAB : 1.6 GeV
RE : E- DEUT --> E- X
W : 1.485 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	0.0361	0.0361	0.0361		0.0496	0.0496	0.0496	-0.1677	+0.2091	-0.2091	+0.0255	-0.0255	-0.1457	+0.1913	-0.1913	+0.0216	-0.0216
	0.0428	0.0428	0.0428		0.0592	0.0592	0.0592	-0.1856	+0.1983	-0.1983	+0.0287	-0.0287	-0.1574	+0.1788	-0.1788	+0.0239	-0.0239
	0.0507	0.0507	0.0507		0.0707	0.0707	0.0707	-0.0898	+0.1901	-0.1901	+0.0258	-0.0258	-0.0669	+0.1685	-0.1685	+0.0198	-0.0198
	0.0599	0.0599	0.0599		0.0844	0.0844	0.0844	0.2091	+0.1877	-0.1877	+0.0398	-0.0398	0.1957	+0.1632	-0.1632	+0.0325	-0.0325
	0.0709	0.0709	0.0709		0.101	0.101	0.101	0.0916	+0.1822	-0.1822	+0.0283	-0.0283	0.0926	+0.155	-0.155	+0.0206	-0.0206
	0.0831	0.0831	0.0831		0.12	0.12	0.12	-0.1161	+0.1796	-0.1796	+0.0365	-0.0365	-0.0827	+0.1492	-0.1492	+0.0271	-0.0271
	0.0981	0.0981	0.0981		0.144	0.144	0.144	-0.0276	+0.1835	-0.1835	+0.0309	-0.0309	-0.0099	+0.1485	-0.1485	+0.0209	-0.0209
	0.1144	0.1144	0.1144		0.171	0.171	0.171	0.0618	+0.1896	-0.1896	+0.0214	-0.0214	0.0612	+0.1493	-0.1493	+0.0105	-0.0105
	0.1341	0.1341	0.1341		0.205	0.205	0.205	0.087	+0.0896	-0.0896	+0.0213	-0.0213	0.079	+0.0684	-0.0684	+0.0111	-0.0111
	0.1557	0.1557	0.1557		0.244	0.244	0.244	0.1034	+0.0856	-0.0856	+0.0234	-0.0234	0.0896	+0.0634	-0.0634	+0.0132	-0.0132
	0.1807	0.1807	0.1807		0.292	0.292	0.292	0.2084	+0.0869	-0.0869	+0.0324	-0.0324	0.1631	+0.0623	-0.0623	+0.0221	-0.0221
	0.2082	0.2082	0.2082		0.348	0.348	0.348	0.1034	+0.086	-0.086	+0.0243	-0.0243	0.0866	+0.0598	-0.0598	+0.0161	-0.0161
	0.2391	0.2391	0.2391		0.416	0.416	0.416	0.1943	+0.0996	-0.0996	+0.032	-0.032	0.148	+0.0671	-0.0671	+0.0234	-0.0234
	0.2726	0.2726	0.2726		0.496	0.496	0.496	0.2246	+0.1072	-0.1072	+0.0342	-0.0342	0.1678	+0.0701	-0.0701	+0.027	-0.027
	0.3091	0.3091	0.3091		0.592	0.592	0.592	0.2794	+0.1735	-0.1735	+0.042	-0.042	0.1994	+0.1106	-0.1106	+0.0333	-0.0333

