Path: /HepData/7076/d120-x1-y1
A1 and g1/F1 for the DEUT target at incident energy 5.7000 GeV and W = 1.3350 GeV
Location: F 1, 2, 3, 4
ELAB : 5.7 GeV
RE : E- DEUT --> E- X
W : 1.335 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	0.4398	0.4398	0.4398		0.707	0.707	0.707	0.0437	+0.8076	-0.8076	+0.1112	-0.1112	0.0454	+0.4019	-0.4019	+0.0513	-0.0513
	0.4838	0.4838	0.4838		0.844	0.844	0.844	0.0887	+0.832	-0.832	+0.0624	-0.0624	0.0667	+0.4112	-0.4112	+0.018	-0.018
	0.5287	0.5287	0.5287		1.01	1.01	1.01	-0.507	+0.9224	-0.9224	+0.1093	-0.1093	-0.2299	+0.4563	-0.4563	+0.0441	-0.0441
	0.5713	0.5713	0.5713		1.2	1.2	1.2	0.494	+1.0429	-1.0429	+0.1077	-0.1077	0.2683	+0.5202	-0.5202	+0.0438	-0.0438
	0.6153	0.6153	0.6153		1.44	1.44	1.44	-0.0704	+0.817	-0.817	+0.1799	-0.1799	-0.0211	+0.4173	-0.4173	+0.0854	-0.0854
	0.655	0.655	0.655		1.71	1.71	1.71	0.3994	+0.7763	-0.7763	+0.2572	-0.2572	0.2355	+0.406	-0.406	+0.1308	-0.1308
	0.6948	0.6948	0.6948		2.05	2.05	2.05	-0.3264	+0.8446	-0.8446	+0.1523	-0.1523	-0.1591	+0.4549	-0.4549	+0.0762	-0.0762
	0.7304	0.7304	0.7304		2.44	2.44	2.44	-0.2296	+0.8898	-0.8898	+0.1081	-0.1081	-0.1005	+0.4958	-0.4958	+0.0556	-0.0556
	0.7643	0.7643	0.7643		2.92	2.92	2.92	0.7017	+1.025	-1.025	+0.1953	-0.1953	0.4273	+0.5929	-0.5929	+0.1127	-0.1127
	0.7944	0.7944	0.7944		3.48	3.48	3.48	2.0159	+1.44	-1.44	+0.4105	-0.4105	1.2285	+0.8686	-0.8686	+0.2498	-0.2498
	0.8221	0.8221	0.8221		4.16	4.16	4.16	1.4098	+1.5642	-1.5642	+0.181	-0.181	0.9146	+0.9835	-0.9835	+0.1145	-0.1145

