Path: /HepData/7076/d58-x1-y1
A1 and g1/F1 for the P target at incident energy 5.7000 GeV and W = 2.6250 GeV
Location: F 1, 2, 3, 4
ELAB : 5.7 GeV
RE : E- P --> E- X
W : 2.625 GeV
sqrts : 2.625 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
x	xlow	xhigh	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
0.1053	0.1053	0.1053	0.707	0.707	0.707	0.1468	+0.0402	-0.0402	+0.0142	-0.0142	0.153	+0.0381	-0.0381	+0.014	-0.014
0.1232	0.1232	0.1232	0.844	0.844	0.844	0.1692	+0.038	-0.038	+0.0146	-0.0146	0.1751	+0.0357	-0.0357	+0.0144	-0.0144
0.1439	0.1439	0.1439	1.01	1.01	1.01	0.1789	+0.0418	-0.0418	+0.0181	-0.0181	0.1847	+0.039	-0.039	+0.0182	-0.0182
0.1665	0.1665	0.1665	1.2	1.2	1.2	0.2658	+0.032	-0.032	+0.0216	-0.0216	0.2657	+0.0296	-0.0296	+0.0219	-0.0219
0.1933	0.1933	0.1933	1.44	1.44	1.44	0.2825	+0.0353	-0.0353	+0.0287	-0.0287	0.2805	+0.0323	-0.0323	+0.0287	-0.0287
0.2215	0.2215	0.2215	1.71	1.71	1.71	0.3423	+0.0341	-0.0341	+0.0307	-0.0307	0.3339	+0.031	-0.031	+0.0304	-0.0304
0.2544	0.2544	0.2544	2.05	2.05	2.05	0.3874	+0.0314	-0.0314	+0.0368	-0.0368	0.3726	+0.0283	-0.0283	+0.0356	-0.0356
0.2888	0.2888	0.2888	2.44	2.44	2.44	0.4319	+0.0406	-0.0406	+0.0472	-0.0472	0.4098	+0.0363	-0.0363	+0.0443	-0.0443
0.327	0.327	0.327	2.92	2.92	2.92	0.826	+0.0842	-0.0842	+0.1096	-0.1096	0.7556	+0.0745	-0.0745	+0.0979	-0.0979

