Path: /HepData/7076/d236-x1-y1
A1 and g1/F1 for the DEUT target at incident energy 5.7000 GeV and W = 2.0950 GeV
Location: F 1, 2, 3, 4
ELAB : 5.7 GeV
RE : E- DEUT --> E- X
W : 2.095 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	0.1678	0.1678	0.1678		0.707	0.707	0.707	-0.4273	+0.2731	-0.2731	+0.0514	-0.0514	-0.3496	+0.2339	-0.2339	+0.0403	-0.0403
	0.194	0.194	0.194		0.844	0.844	0.844	-0.0324	+0.294	-0.294	+0.0278	-0.0278	-0.0094	+0.2481	-0.2481	+0.0151	-0.0151
	0.2236	0.2236	0.2236		1.01	1.01	1.01	0.509	+0.3166	-0.3166	+0.0776	-0.0776	0.4427	+0.2632	-0.2632	+0.0621	-0.0621
	0.2549	0.2549	0.2549		1.2	1.2	1.2	0.4291	+0.3518	-0.3518	+0.0661	-0.0661	0.373	+0.2884	-0.2884	+0.0513	-0.0513
	0.2911	0.2911	0.2911		1.44	1.44	1.44	0.0427	+0.2357	-0.2357	+0.0361	-0.0361	0.0555	+0.1923	-0.1923	+0.0244	-0.0244
	0.3278	0.3278	0.3278		1.71	1.71	1.71	0.7937	+0.2384	-0.2384	+0.1006	-0.1006	0.6609	+0.1924	-0.1924	+0.0805	-0.0805
	0.3689	0.3689	0.3689		2.05	2.05	2.05	0.2575	+0.2537	-0.2537	+0.0781	-0.0781	0.2309	+0.2029	-0.2029	+0.0618	-0.0618
	0.4103	0.4103	0.4103		2.44	2.44	2.44	0.0722	+0.2675	-0.2675	+0.0558	-0.0558	0.0825	+0.2124	-0.2124	+0.0443	-0.0443
	0.4543	0.4543	0.4543		2.92	2.92	2.92	0.3548	+0.2759	-0.2759	+0.0748	-0.0748	0.3044	+0.2183	-0.2183	+0.06	-0.06
	0.498	0.498	0.498		3.48	3.48	3.48	0.8753	+0.3344	-0.3344	+0.1073	-0.1073	0.7174	+0.2651	-0.2651	+0.0866	-0.0866
	0.5426	0.5426	0.5426		4.16	4.16	4.16	0.1813	+0.4098	-0.4098	+0.0577	-0.0577	0.1647	+0.3256	-0.3256	+0.0479	-0.0479

