Path: /HepData/7076/d206-x1-y1
A1 and g1/F1 for the DEUT target at incident energy 5.7000 GeV and W = 1.7950 GeV
Location: F 1, 2, 3, 4
ELAB : 5.7 GeV
RE : E- DEUT --> E- X
W : 1.795 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
x	xlow	xhigh	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
0.232	0.232	0.232	0.707	0.707	0.707	-0.0637	+0.3747	-0.3747	+0.0375	-0.0375	-0.0229	+0.2887	-0.2887	+0.0183	-0.0183
0.2651	0.2651	0.2651	0.844	0.844	0.844	0.4724	+0.4019	-0.4019	+0.142	-0.142	0.3849	+0.3036	-0.3036	+0.1047	-0.1047
0.3015	0.3015	0.3015	1.01	1.01	1.01	0.1585	+0.4159	-0.4159	+0.0477	-0.0477	0.1456	+0.3085	-0.3085	+0.0261	-0.0261
0.339	0.339	0.339	1.2	1.2	1.2	0.1384	+0.4566	-0.4566	+0.0571	-0.0571	0.1305	+0.3335	-0.3335	+0.034	-0.034
0.3809	0.3809	0.3809	1.44	1.44	1.44	0.5322	+0.3186	-0.3186	+0.1113	-0.1113	0.42	+0.2317	-0.2317	+0.078	-0.078
0.4222	0.4222	0.4222	1.71	1.71	1.71	0.3611	+0.3202	-0.3202	+0.0855	-0.0855	0.2906	+0.2309	-0.2309	+0.0577	-0.0577
0.4669	0.4669	0.4669	2.05	2.05	2.05	-0.2176	+0.3384	-0.3384	+0.0916	-0.0916	-0.1315	+0.2427	-0.2427	+0.0622	-0.0622
0.5104	0.5104	0.5104	2.44	2.44	2.44	0.5195	+0.3623	-0.3623	+0.1065	-0.1065	0.4014	+0.2598	-0.2598	+0.0756	-0.0756
0.5551	0.5551	0.5551	2.92	2.92	2.92	-0.1188	+0.4113	-0.4113	+0.1232	-0.1232	-0.0582	+0.296	-0.296	+0.0886	-0.0886
0.5979	0.5979	0.5979	3.48	3.48	3.48	0.512	+0.5052	-0.5052	+0.1282	-0.1282	0.3983	+0.3677	-0.3677	+0.0933	-0.0933
0.64	0.64	0.64	4.16	4.16	4.16	0.8315	+0.5679	-0.5679	+0.1581	-0.1581	0.6366	+0.4181	-0.4181	+0.1174	-0.1174

