Path: /HepData/7076/d118-x1-y1
A1 and g1/F1 for the DEUT target at incident energy 5.7000 GeV and W = 1.3250 GeV
Location: F 1, 2, 3, 4
ELAB : 5.7 GeV
RE : E- DEUT --> E- X
W : 1.325 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
x	xlow	xhigh	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
0.4472	0.4472	0.4472	0.707	0.707	0.707	-0.2649	+0.8072	-0.8072	+0.123	-0.123	-0.1088	+0.3951	-0.3951	+0.0551	-0.0551
0.4913	0.4913	0.4913	0.844	0.844	0.844	-0.4761	+0.8285	-0.8285	+0.1789	-0.1789	-0.2098	+0.4033	-0.4033	+0.0827	-0.0827
0.5361	0.5361	0.5361	1.01	1.01	1.01	-0.1544	+0.9181	-0.9181	+0.0667	-0.0667	-0.0554	+0.4479	-0.4479	+0.0154	-0.0154
0.5786	0.5786	0.5786	1.2	1.2	1.2	-1.4596	+1.0425	-1.0425	+0.2023	-0.2023	-0.6988	+0.5135	-0.5135	+0.0939	-0.0939
0.6223	0.6223	0.6223	1.44	1.44	1.44	1.923	+0.8209	-0.8209	+0.3221	-0.3221	0.9873	+0.4148	-0.4148	+0.1618	-0.1618
0.6618	0.6618	0.6618	1.71	1.71	1.71	-0.6265	+0.7804	-0.7804	+0.2302	-0.2302	-0.3051	+0.4043	-0.4043	+0.1155	-0.1155
0.7011	0.7011	0.7011	2.05	2.05	2.05	2.585	+0.867	-0.867	+0.2847	-0.2847	1.4028	+0.4631	-0.4631	+0.1509	-0.1509
0.7363	0.7363	0.7363	2.44	2.44	2.44	0.5802	+0.9433	-0.9433	+0.2067	-0.2067	0.3543	+0.5217	-0.5217	+0.1124	-0.1124
0.7697	0.7697	0.7697	2.92	2.92	2.92	-0.7549	+1.064	-1.064	+0.2965	-0.2965	-0.4319	+0.6116	-0.6116	+0.1668	-0.1668
0.7993	0.7993	0.7993	3.48	3.48	3.48	1.8703	+1.499	-1.499	+0.6714	-0.6714	1.1301	+0.9008	-0.9008	+0.4069	-0.4069
0.8264	0.8264	0.8264	4.16	4.16	4.16	1.5469	+1.607	-1.607	+0.6346	-0.6346	0.9639	+1.0078	-1.0078	+0.3982	-0.3982

