Path: /HepData/7076/d255-x1-y1
A1 and g1/F1 for the DEUT target at incident energy 5.7000 GeV and W = 2.2850 GeV
Location: F 1, 2, 3, 4
ELAB : 5.7 GeV
RE : E- DEUT --> E- X
W : 2.285 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
x	xlow	xhigh	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
0.1401	0.1401	0.1401	0.707	0.707	0.707	-0.2184	+0.2362	-0.2362	+0.0517	-0.0517	-0.1835	+0.21	-0.21	+0.0436	-0.0436
0.1628	0.1628	0.1628	0.844	0.844	0.844	0.2581	+0.2739	-0.2739	+0.0476	-0.0476	0.2394	+0.2407	-0.2407	+0.0393	-0.0393
0.1888	0.1888	0.1888	1.01	1.01	1.01	-0.156	+0.3048	-0.3048	+0.0519	-0.0519	-0.1204	+0.2647	-0.2647	+0.0426	-0.0426
0.2166	0.2166	0.2166	1.2	1.2	1.2	0.2358	+0.3348	-0.3348	+0.0578	-0.0578	0.2189	+0.2873	-0.2873	+0.0475	-0.0475
0.2492	0.2492	0.2492	1.44	1.44	1.44	0.5172	+0.1993	-0.1993	+0.0535	-0.0535	0.4626	+0.1706	-0.1706	+0.044	-0.044
0.2827	0.2827	0.2827	1.71	1.71	1.71	0.245	+0.1947	-0.1947	+0.033	-0.033	0.2271	+0.1651	-0.1651	+0.0255	-0.0255
0.3208	0.3208	0.3208	2.05	2.05	2.05	0.2524	+0.1998	-0.1998	+0.0668	-0.0668	0.2297	+0.1677	-0.1677	+0.0556	-0.0556
0.3599	0.3599	0.3599	2.44	2.44	2.44	0.2925	+0.2067	-0.2067	+0.052	-0.052	0.2648	+0.1721	-0.1721	+0.0431	-0.0431
0.4022	0.4022	0.4022	2.92	2.92	2.92	0.1218	+0.216	-0.216	+0.0537	-0.0537	0.1208	+0.1788	-0.1788	+0.0448	-0.0448
0.445	0.445	0.445	3.48	3.48	3.48	0.2765	+0.2745	-0.2745	+0.0796	-0.0796	0.2446	+0.2271	-0.2271	+0.0667	-0.0667

