Path: /HepData/7076/d81-x1-y1
A1 and g1/F1 for the DEUT target at incident energy 1.6000 GeV and W = 1.1450 GeV
Location: F 1, 2, 3, 4
ELAB : 1.6 GeV
RE : E- DEUT --> E- X
W : 1.145 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	0.1036	0.1036	0.1036		0.0496	0.0496	0.0496	1.1177	+0.7273	-0.7273	+0.2379	-0.2379	0.626	+0.4126	-0.4126	+0.1311	-0.1311
	0.1212	0.1212	0.1212		0.0592	0.0592	0.0592	-0.1428	+0.5593	-0.5593	+0.1154	-0.1154	-0.0822	+0.2983	-0.2983	+0.0398	-0.0398
	0.1414	0.1414	0.1414		0.0707	0.0707	0.0707	0.3142	+0.5394	-0.5394	+0.0932	-0.0932	0.1541	+0.2701	-0.2701	+0.019	-0.019
	0.1643	0.1643	0.1643		0.0844	0.0844	0.0844	-0.3008	+0.524	-0.524	+0.1302	-0.1302	-0.1422	+0.2462	-0.2462	+0.0416	-0.0416
	0.1905	0.1905	0.1905		0.101	0.101	0.101	-0.3809	+0.5128	-0.5128	+0.1509	-0.1509	-0.1667	+0.2262	-0.2262	+0.051	-0.051
	0.2185	0.2185	0.2185		0.12	0.12	0.12	-0.5528	+0.5118	-0.5118	+0.1697	-0.1697	-0.227	+0.213	-0.213	+0.055	-0.055
	0.2512	0.2512	0.2512		0.144	0.144	0.144	-0.0993	+0.5374	-0.5374	+0.1265	-0.1265	-0.0363	+0.2112	-0.2112	+0.0279	-0.0279
	0.2849	0.2849	0.2849		0.171	0.171	0.171	-0.6117	+0.5243	-0.5243	+0.1894	-0.1894	-0.2264	+0.1961	-0.1961	+0.0555	-0.0555
	0.3232	0.3232	0.3232		0.205	0.205	0.205	0.0587	+0.3594	-0.3594	+0.1332	-0.1332	0.023	+0.1285	-0.1285	+0.0293	-0.0293
	0.3624	0.3624	0.3624		0.244	0.244	0.244	0.1328	+0.3003	-0.3003	+0.1438	-0.1438	0.0475	+0.1036	-0.1036	+0.0333	-0.0333
	0.4048	0.4048	0.4048		0.292	0.292	0.292	-0.4965	+0.2666	-0.2666	+0.1824	-0.1824	-0.1652	+0.0895	-0.0895	+0.0436	-0.0436
	0.4477	0.4477	0.4477		0.348	0.348	0.348	0.4213	+0.2644	-0.2644	+0.1863	-0.1863	0.1402	+0.0872	-0.0872	+0.0525	-0.0525
	0.4921	0.4921	0.4921		0.416	0.416	0.416	-0.386	+0.2735	-0.2735	+0.145	-0.145	-0.1254	+0.0896	-0.0896	+0.0315	-0.0315
	0.536	0.536	0.536		0.496	0.496	0.496	-0.2599	+0.2848	-0.2848	+0.1239	-0.1239	-0.0874	+0.0936	-0.0936	+0.0231	-0.0231
	0.5797	0.5797	0.5797		0.592	0.592	0.592	0.058	+0.3114	-0.3114	+0.1169	-0.1169	0.0171	+0.1038	-0.1038	+0.0239	-0.0239

