Path: /HepData/7076/d135-x1-y1
A1 and g1/F1 for the DEUT target at incident energy 1.6000 GeV and W = 1.4150 GeV
Location: F 1, 2, 3, 4
ELAB : 1.6 GeV
RE : E- DEUT --> E- X
W : 1.415 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
x	xlow	xhigh	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
0.0424	0.0424	0.0424	0.0496	0.0496	0.0496	0.0675	+0.2777	-0.2777	+0.018	-0.018	0.0655	+0.2462	-0.2462	+0.0091	-0.0091
0.0502	0.0502	0.0502	0.0592	0.0592	0.0592	0.0726	+0.2508	-0.2508	+0.0304	-0.0304	0.0704	+0.2181	-0.2181	+0.0225	-0.0225
0.0594	0.0594	0.0594	0.0707	0.0707	0.0707	0.1921	+0.2367	-0.2367	+0.0335	-0.0335	0.1727	+0.2013	-0.2013	+0.0249	-0.0249
0.07	0.07	0.07	0.0844	0.0844	0.0844	-0.2099	+0.2263	-0.2263	+0.0296	-0.0296	-0.164	+0.1878	-0.1878	+0.0178	-0.0178
0.0827	0.0827	0.0827	0.101	0.101	0.101	-0.0942	+0.2282	-0.2282	+0.0239	-0.0239	-0.065	+0.1843	-0.1843	+0.0104	-0.0104
0.0967	0.0967	0.0967	0.12	0.12	0.12	-0.0622	+0.2285	-0.2285	+0.0287	-0.0287	-0.0374	+0.1792	-0.1792	+0.0159	-0.0159
0.1139	0.1139	0.1139	0.144	0.144	0.144	0.006	+0.2336	-0.2336	+0.0289	-0.0289	0.0162	+0.1773	-0.1773	+0.016	-0.016
0.1324	0.1324	0.1324	0.171	0.171	0.171	-0.0874	+0.2363	-0.2363	+0.0314	-0.0314	-0.0523	+0.1735	-0.1735	+0.0159	-0.0159
0.1547	0.1547	0.1547	0.205	0.205	0.205	-0.0752	+0.1238	-0.1238	+0.0288	-0.0288	-0.0408	+0.0877	-0.0877	+0.0128	-0.0128
0.1788	0.1788	0.1788	0.244	0.244	0.244	0.0565	+0.1102	-0.1102	+0.0291	-0.0291	0.0525	+0.0754	-0.0754	+0.0152	-0.0152
0.2067	0.2067	0.2067	0.292	0.292	0.292	-0.1151	+0.115	-0.115	+0.0332	-0.0332	-0.0603	+0.0758	-0.0758	+0.0162	-0.0162
0.237	0.237	0.237	0.348	0.348	0.348	-0.0549	+0.1129	-0.1129	+0.0297	-0.0297	-0.0172	+0.072	-0.072	+0.0145	-0.0145
0.2707	0.2707	0.2707	0.416	0.416	0.416	0.3245	+0.1198	-0.1198	+0.0551	-0.0551	0.2223	+0.0739	-0.0739	+0.0348	-0.0348
0.3068	0.3068	0.3068	0.496	0.496	0.496	-0.1512	+0.1302	-0.1302	+0.0338	-0.0338	-0.0636	+0.078	-0.078	+0.0194	-0.0194
0.3457	0.3457	0.3457	0.592	0.592	0.592	0.0517	+0.1426	-0.1426	+0.0322	-0.0322	0.0583	+0.0833	-0.0833	+0.0226	-0.0226

