Path: /HepData/7076/d30-x1-y1
A1 and g1/F1 for the P target at incident energy 5.7000 GeV and W = 1.2250 GeV
Location: F 1, 2, 3, 4
ELAB : 5.7 GeV
RE : E- P --> E- X
W : 1.225 GeV
sqrts : 1.225 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
x	xlow	xhigh	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
0.5332	0.5332	0.5332	0.707	0.707	0.707	-0.2166	+0.1541	-0.1541	+0.0837	-0.0837	-0.1088	+0.0638	-0.0638	+0.0147	-0.0147
0.5769	0.5769	0.5769	0.844	0.844	0.844	-0.6755	+0.1356	-0.1356	+0.1112	-0.1112	-0.2992	+0.0568	-0.0568	+0.0272	-0.0272
0.6201	0.6201	0.6201	1.01	1.01	1.01	-0.4287	+0.1509	-0.1509	+0.0859	-0.0859	-0.1962	+0.0645	-0.0645	+0.0181	-0.0181
0.6597	0.6597	0.6597	1.2	1.2	1.2	-0.3958	+0.1708	-0.1708	+0.0686	-0.0686	-0.1843	+0.075	-0.075	+0.0148	-0.0148
0.6994	0.6994	0.6994	1.44	1.44	1.44	-0.0689	+0.1707	-0.1707	+0.0666	-0.0666	-0.0388	+0.0778	-0.0778	+0.0116	-0.0116
0.7343	0.7343	0.7343	1.71	1.71	1.71	-0.1079	+0.1702	-0.1702	+0.0643	-0.0643	-0.0562	+0.0807	-0.0807	+0.0119	-0.0119
0.7681	0.7681	0.7681	2.05	2.05	2.05	0.1981	+0.1856	-0.1856	+0.0616	-0.0616	0.0962	+0.0922	-0.0922	+0.0129	-0.0129
0.7977	0.7977	0.7977	2.44	2.44	2.44	-0.507	+0.2085	-0.2085	+0.0605	-0.0605	-0.2643	+0.1087	-0.1087	+0.0193	-0.0193
0.8251	0.8251	0.8251	2.92	2.92	2.92	-0.1795	+0.28	-0.28	+0.0613	-0.0613	-0.096	+0.1538	-0.1538	+0.0213	-0.0213
0.849	0.849	0.849	3.48	3.48	3.48	0.0711	+0.3922	-0.3922	+0.0758	-0.0758	0.046	+0.2268	-0.2268	+0.0367	-0.0367
0.8705	0.8705	0.8705	4.16	4.16	4.16	0.2998	+0.2308	-0.2308	+0.0664	-0.0664	0.19	+0.1407	-0.1407	+0.044	-0.044
0.8891	0.8891	0.8891	4.96	4.96	4.96	-0.0132	+0.4068	-0.4068	+0.106	-0.106	0.0012	+0.2606	-0.2606	+0.0683	-0.0683

