Path: /HepData/7076/d139-x1-y1
A1 and g1/F1 for the DEUT target at incident energy 1.6000 GeV and W = 1.4350 GeV
Location: F 1, 2, 3, 4
ELAB : 1.6 GeV
RE : E- DEUT --> E- X
W : 1.435 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	0.0404	0.0404	0.0404		0.0496	0.0496	0.0496	0.2511	+0.2586	-0.2586	+0.025	-0.025	0.2326	+0.2317	-0.2317	+0.0176	-0.0176
	0.0479	0.0479	0.0479		0.0592	0.0592	0.0592	-0.2904	+0.2416	-0.2416	+0.025	-0.025	-0.2458	+0.2126	-0.2126	+0.0181	-0.0181
	0.0566	0.0566	0.0566		0.0707	0.0707	0.0707	-0.6087	+0.2286	-0.2286	+0.0462	-0.0462	-0.5123	+0.1971	-0.1971	+0.037	-0.037
	0.0669	0.0669	0.0669		0.0844	0.0844	0.0844	0.0648	+0.2183	-0.2183	+0.0198	-0.0198	0.0681	+0.1839	-0.1839	+0.0083	-0.0083
	0.079	0.079	0.079		0.101	0.101	0.101	-0.1795	+0.2168	-0.2168	+0.0254	-0.0254	-0.1332	+0.178	-0.178	+0.0133	-0.0133
	0.0925	0.0925	0.0925		0.12	0.12	0.12	0.012	+0.2127	-0.2127	+0.0209	-0.0209	0.0241	+0.17	-0.17	+0.0087	-0.0087
	0.109	0.109	0.109		0.144	0.144	0.144	-0.469	+0.2207	-0.2207	+0.0698	-0.0698	-0.3491	+0.171	-0.171	+0.0506	-0.0506
	0.1268	0.1268	0.1268		0.171	0.171	0.171	0.0273	+0.224	-0.224	+0.0243	-0.0243	0.0346	+0.1682	-0.1682	+0.0107	-0.0107
	0.1483	0.1483	0.1483		0.205	0.205	0.205	-0.1004	+0.1159	-0.1159	+0.028	-0.028	-0.0587	+0.0841	-0.0841	+0.0124	-0.0124
	0.1716	0.1716	0.1716		0.244	0.244	0.244	0.1508	+0.1059	-0.1059	+0.0334	-0.0334	0.1205	+0.0743	-0.0743	+0.0204	-0.0204
	0.1987	0.1987	0.1987		0.292	0.292	0.292	0.207	+0.1056	-0.1056	+0.0418	-0.0418	0.156	+0.0715	-0.0715	+0.0271	-0.0271
	0.2281	0.2281	0.2281		0.348	0.348	0.348	0.224	+0.1065	-0.1065	+0.0459	-0.0459	0.1641	+0.0697	-0.0697	+0.0292	-0.0292
	0.2611	0.2611	0.2611		0.416	0.416	0.416	0.2042	+0.1159	-0.1159	+0.0444	-0.0444	0.1504	+0.0734	-0.0734	+0.0278	-0.0278
	0.2964	0.2964	0.2964		0.496	0.496	0.496	0.0266	+0.1284	-0.1284	+0.0295	-0.0295	0.0423	+0.079	-0.079	+0.0189	-0.0189
	0.3346	0.3346	0.3346		0.592	0.592	0.592	0.0138	+0.1518	-0.1518	+0.0303	-0.0303	0.0349	+0.0911	-0.0911	+0.0217	-0.0217

