Path: /HepData/7076/d132-x1-y1
A1 and g1/F1 for the DEUT target at incident energy 5.7000 GeV and W = 1.3950 GeV
Location: F 1, 2, 3, 4
ELAB : 5.7 GeV
RE : E- DEUT --> E- X
W : 1.395 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	0.3991	0.3991	0.3991		0.707	0.707	0.707	0.3489	+0.748	-0.748	+0.0734	-0.0734	0.2175	+0.4075	-0.4075	+0.0294	-0.0294
	0.4423	0.4423	0.4423		0.844	0.844	0.844	0.1179	+0.7739	-0.7739	+0.0716	-0.0716	0.0902	+0.4163	-0.4163	+0.0213	-0.0213
	0.4869	0.4869	0.4869		1.01	1.01	1.01	0.6003	+0.8658	-0.8658	+0.1063	-0.1063	0.3469	+0.4629	-0.4629	+0.0451	-0.0451
	0.53	0.53	0.53		1.2	1.2	1.2	0.9185	+0.972	-0.972	+0.2078	-0.2078	0.5171	+0.5203	-0.5203	+0.1052	-0.1052
	0.575	0.575	0.575		1.44	1.44	1.44	-0.83	+0.7511	-0.7511	+0.155	-0.155	-0.4288	+0.4086	-0.4086	+0.0753	-0.0753
	0.6164	0.6164	0.6164		1.71	1.71	1.71	-0.2404	+0.7232	-0.7232	+0.2069	-0.2069	-0.108	+0.3998	-0.3998	+0.1087	-0.1087
	0.6583	0.6583	0.6583		2.05	2.05	2.05	0.2679	+0.7783	-0.7783	+0.2189	-0.2189	0.1761	+0.4394	-0.4394	+0.1197	-0.1197
	0.6963	0.6963	0.6963		2.44	2.44	2.44	-0.0227	+0.8162	-0.8162	+0.1696	-0.1696	0.0195	+0.4738	-0.4738	+0.095	-0.095
	0.7329	0.7329	0.7329		2.92	2.92	2.92	0.3048	+0.8981	-0.8981	+0.1913	-0.1913	0.2022	+0.538	-0.538	+0.1137	-0.1137
	0.7658	0.7658	0.7658		3.48	3.48	3.48	-0.3955	+1.2472	-1.2472	+0.1215	-0.1215	-0.2251	+0.7767	-0.7767	+0.0734	-0.0734
	0.7963	0.7963	0.7963		4.16	4.16	4.16	1.4129	+1.3359	-1.3359	+0.2146	-0.2146	0.9374	+0.8632	-0.8632	+0.1384	-0.1384

