Path: /HepData/7076/d60-x1-y1
A1 and g1/F1 for the P target at incident energy 5.7000 GeV and W = 2.7250 GeV
Location: F 1, 2, 3, 4
ELAB : 5.7 GeV
RE : E- P --> E- X
W : 2.725 GeV
sqrts : 2.725 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
x	xlow	xhigh	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
0.0975	0.0975	0.0975	0.707	0.707	0.707	0.1496	+0.0398	-0.0398	+0.0133	-0.0133	0.1547	+0.038	-0.038	+0.0137	-0.0137
0.1142	0.1142	0.1142	0.844	0.844	0.844	0.2072	+0.0357	-0.0357	+0.0141	-0.0141	0.2102	+0.0339	-0.0339	+0.0146	-0.0146
0.1337	0.1337	0.1337	1.01	1.01	1.01	0.1985	+0.0389	-0.0389	+0.0166	-0.0166	0.2025	+0.0367	-0.0367	+0.0173	-0.0173
0.155	0.155	0.155	1.2	1.2	1.2	0.2205	+0.0295	-0.0295	+0.021	-0.021	0.2234	+0.0276	-0.0276	+0.0218	-0.0218
0.1804	0.1804	0.1804	1.44	1.44	1.44	0.3023	+0.0347	-0.0347	+0.0288	-0.0288	0.2992	+0.0321	-0.0321	+0.0289	-0.0289
0.2072	0.2072	0.2072	1.71	1.71	1.71	0.3318	+0.0323	-0.0323	+0.035	-0.035	0.3256	+0.0297	-0.0297	+0.0343	-0.0343
0.2385	0.2385	0.2385	2.05	2.05	2.05	0.3239	+0.0347	-0.0347	+0.0437	-0.0437	0.3169	+0.0316	-0.0316	+0.0419	-0.0419
0.2716	0.2716	0.2716	2.44	2.44	2.44	0.3952	+0.0547	-0.0547	+0.0714	-0.0714	0.3794	+0.0494	-0.0494	+0.0661	-0.0661
0.3085	0.3085	0.3085	2.92	2.92	2.92	0.3435	+0.3058	-0.3058	+0.0847	-0.0847	0.3303	+0.2744	-0.2744	+0.077	-0.077

