Path: /HepData/7076/d163-x1-y1
A1 and g1/F1 for the DEUT target at incident energy 1.6000 GeV and W = 1.5550 GeV
Location: F 1, 2, 3, 4
ELAB : 1.6 GeV
RE : E- DEUT --> E- X
W : 1.555 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	0.0313	0.0313	0.0313		0.0496	0.0496	0.0496	-0.1662	+0.2046	-0.2046	+0.0152	-0.0152	-0.1455	+0.1913	-0.1913	+0.0134	-0.0134
	0.0371	0.0371	0.0371		0.0592	0.0592	0.0592	-0.0747	+0.2001	-0.2001	+0.0172	-0.0172	-0.0565	+0.1849	-0.1849	+0.0137	-0.0137
	0.044	0.044	0.044		0.0707	0.0707	0.0707	-0.286	+0.1957	-0.1957	+0.0235	-0.0235	-0.2448	+0.1785	-0.1785	+0.0203	-0.0203
	0.0521	0.0521	0.0521		0.0844	0.0844	0.0844	-0.124	+0.1876	-0.1876	+0.0158	-0.0158	-0.0954	+0.1685	-0.1685	+0.0105	-0.0105
	0.0617	0.0617	0.0617		0.101	0.101	0.101	0.1816	+0.1788	-0.1788	+0.0278	-0.0278	0.1752	+0.1578	-0.1578	+0.0218	-0.0218
	0.0725	0.0725	0.0725		0.12	0.12	0.12	0.0959	+0.1847	-0.1847	+0.0189	-0.0189	0.0965	+0.16	-0.16	+0.0115	-0.0115
	0.0857	0.0857	0.0857		0.144	0.144	0.144	0.0839	+0.1838	-0.1838	+0.0293	-0.0293	0.0826	+0.1558	-0.1558	+0.0217	-0.0217
	0.1002	0.1002	0.1002		0.171	0.171	0.171	-0.0947	+0.1727	-0.1727	+0.0251	-0.0251	-0.0665	+0.1431	-0.1431	+0.0163	-0.0163
	0.1177	0.1177	0.1177		0.205	0.205	0.205	0.062	+0.0829	-0.0829	+0.0209	-0.0209	0.0626	+0.067	-0.067	+0.0122	-0.0122
	0.1371	0.1371	0.1371		0.244	0.244	0.244	-0.0088	+0.076	-0.076	+0.0215	-0.0215	0.0066	+0.0598	-0.0598	+0.0133	-0.0133
	0.1597	0.1597	0.1597		0.292	0.292	0.292	0.1019	+0.0765	-0.0765	+0.0247	-0.0247	0.0926	+0.0585	-0.0585	+0.0181	-0.0181
	0.1847	0.1847	0.1847		0.348	0.348	0.348	0.2446	+0.0841	-0.0841	+0.0354	-0.0354	0.1982	+0.0625	-0.0625	+0.027	-0.027
	0.2131	0.2131	0.2131		0.416	0.416	0.416	0.0407	+0.0901	-0.0901	+0.0255	-0.0255	0.0485	+0.0651	-0.0651	+0.0183	-0.0183
	0.2441	0.2441	0.2441		0.496	0.496	0.496	0.2555	+0.1104	-0.1104	+0.0388	-0.0388	0.2021	+0.0776	-0.0776	+0.0279	-0.0279

