Path: /HepData/7076/d28-x1-y1
A1 and g1/F1 for the P target at incident energy 1.6000 GeV and W = 1.1100 GeV
Location: F 1, 2, 3, 4
ELAB : 1.6 GeV
RE : E- P --> E- X
W : 1.11 GeV
sqrts : 1.11 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
x	xlow	xhigh	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
0.1445	0.1445	0.1445	0.0592	0.0592	0.0592	0.208	+0.8606	-0.8606	+0.5108	-0.5108	-0.0353	+0.3852	-0.3852	+0.1876	-0.1876
0.1679	0.1679	0.1679	0.0707	0.0707	0.0707	0.5878	+0.7515	-0.7515	+0.5449	-0.5449	0.1069	+0.3137	-0.3137	+0.195	-0.195
0.1941	0.1941	0.1941	0.0844	0.0844	0.0844	0.3039	+0.9276	-0.9276	+0.5626	-0.5626	-0.0174	+0.3619	-0.3619	+0.1806	-0.1806
0.2238	0.2238	0.2238	0.101	0.101	0.101	0.2934	+0.8072	-0.8072	+0.5743	-0.5743	-0.0241	+0.2951	-0.2951	+0.1731	-0.1731
0.2551	0.2551	0.2551	0.12	0.12	0.12	-0.099	+0.7716	-0.7716	+0.5934	-0.5934	-0.1616	+0.2662	-0.2662	+0.1784	-0.1784
0.2913	0.2913	0.2913	0.144	0.144	0.144	-0.7596	+0.7261	-0.7261	+0.6282	-0.6282	-0.3712	+0.237	-0.237	+0.2313	-0.2313
0.328	0.328	0.328	0.171	0.171	0.171	-0.019	+0.7302	-0.7302	+0.6111	-0.6111	-0.1262	+0.2279	-0.2279	+0.1619	-0.1619
0.3691	0.3691	0.3691	0.205	0.205	0.205	0.639	+0.5987	-0.5987	+0.5943	-0.5943	0.0745	+0.1798	-0.1798	+0.1607	-0.1607
0.4105	0.4105	0.4105	0.244	0.244	0.244	0.77	+0.48	-0.48	+0.5932	-0.5932	0.1098	+0.1403	-0.1403	+0.1662	-0.1662
0.4983	0.4983	0.4983	0.348	0.348	0.348	0.7435	+0.4399	-0.4399	+0.5701	-0.5701	0.0988	+0.1256	-0.1256	+0.1571	-0.1571
0.5428	0.5428	0.5428	0.416	0.416	0.416	0.8897	+0.448	-0.448	+0.5143	-0.5143	0.1399	+0.1285	-0.1285	+0.1596	-0.1596
0.586	0.586	0.586	0.496	0.496	0.496	0.4916	+0.394	-0.394	+0.4961	-0.4961	0.0239	+0.1148	-0.1148	+0.1275	-0.1275
0.6282	0.6282	0.6282	0.592	0.592	0.592	-0.7682	+0.3835	-0.3835	+0.5217	-0.5217	-0.3547	+0.1148	-0.1148	+0.2277	-0.2277

