Path: /HepData/7076/d169-x1-y1
A1 and g1/F1 for the DEUT target at incident energy 1.6000 GeV and W = 1.5850 GeV
Location: F 1, 2, 3, 4
ELAB : 1.6 GeV
RE : E- DEUT --> E- X
W : 1.585 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
x	xlow	xhigh	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
0.0295	0.0295	0.0295	0.0496	0.0496	0.0496	0.0808	+0.2112	-0.2112	+0.0296	-0.0296	0.0879	+0.1989	-0.1989	+0.0263	-0.0263
0.035	0.035	0.035	0.0592	0.0592	0.0592	0.2333	+0.2067	-0.2067	+0.0217	-0.0217	0.2325	+0.1926	-0.1926	+0.0172	-0.0172
0.0416	0.0416	0.0416	0.0707	0.0707	0.0707	0.1865	+0.1998	-0.1998	+0.0241	-0.0241	0.1909	+0.184	-0.184	+0.02	-0.02
0.0492	0.0492	0.0492	0.0844	0.0844	0.0844	-0.3431	+0.1909	-0.1909	+0.0319	-0.0319	-0.2927	+0.1734	-0.1734	+0.0283	-0.0283
0.0583	0.0583	0.0583	0.101	0.101	0.101	-0.0722	+0.1884	-0.1884	+0.0146	-0.0146	-0.0474	+0.1683	-0.1683	+0.0097	-0.0097
0.0686	0.0686	0.0686	0.12	0.12	0.12	0.0185	+0.1887	-0.1887	+0.0232	-0.0232	0.0316	+0.1658	-0.1658	+0.0179	-0.0179
0.0811	0.0811	0.0811	0.144	0.144	0.144	0.2227	+0.1865	-0.1865	+0.0314	-0.0314	0.2049	+0.1606	-0.1606	+0.0257	-0.0257
0.0949	0.0949	0.0949	0.171	0.171	0.171	0.1502	+0.18	-0.18	+0.0371	-0.0371	0.1404	+0.1518	-0.1518	+0.0302	-0.0302
0.1117	0.1117	0.1117	0.205	0.205	0.205	-0.1589	+0.0947	-0.0947	+0.0223	-0.0223	-0.1163	+0.078	-0.078	+0.0158	-0.0158
0.1302	0.1302	0.1302	0.244	0.244	0.244	0.178	+0.0819	-0.0819	+0.0264	-0.0264	0.1588	+0.0658	-0.0658	+0.0206	-0.0206
0.1519	0.1519	0.1519	0.292	0.292	0.292	-0.0535	+0.0847	-0.0847	+0.0211	-0.0211	-0.0244	+0.0662	-0.0662	+0.0142	-0.0142
0.1759	0.1759	0.1759	0.348	0.348	0.348	0.0196	+0.0876	-0.0876	+0.023	-0.023	0.0345	+0.0667	-0.0667	+0.0166	-0.0166
0.2033	0.2033	0.2033	0.416	0.416	0.416	0.0438	+0.0944	-0.0944	+0.0251	-0.0251	0.0554	+0.0699	-0.0699	+0.019	-0.019
0.2332	0.2332	0.2332	0.496	0.496	0.496	0.0679	+0.1263	-0.1263	+0.0268	-0.0268	0.0765	+0.091	-0.091	+0.0216	-0.0216

