Path: /HepData/7076/d4-x1-y1
A1 and g1/F1 for the P target at incident energy 1.6000 GeV and W = 1.1900 GeV
Location: F 1, 2, 3, 4
ELAB : 1.6 GeV
RE : E- P --> E- X
W : 1.19 GeV
sqrts : 1.19 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	0.0849	0.0849	0.0849		0.0496	0.0496	0.0496	-0.2228	+0.1673	-0.1673	+0.1145	-0.1145	-0.1824	+0.1108	-0.1108	+0.0655	-0.0655
	0.0997	0.0997	0.0997		0.0592	0.0592	0.0592	-0.2348	+0.1175	-0.1175	+0.1125	-0.1125	-0.1896	+0.074	-0.074	+0.0577	-0.0577
	0.1168	0.1168	0.1168		0.0707	0.0707	0.0707	-0.4411	+0.1312	-0.1312	+0.107	-0.107	-0.3133	+0.0783	-0.0783	+0.038	-0.038
	0.1364	0.1364	0.1364		0.0844	0.0844	0.0844	-0.2799	+0.112	-0.112	+0.1038	-0.1038	-0.2079	+0.0632	-0.0632	+0.0337	-0.0337
	0.159	0.159	0.159		0.101	0.101	0.101	-0.4573	+0.1114	-0.1114	+0.1077	-0.1077	-0.2921	+0.0594	-0.0594	+0.0308	-0.0308
	0.1834	0.1834	0.1834		0.12	0.12	0.12	-0.3677	+0.1142	-0.1142	+0.1062	-0.1062	-0.2322	+0.0576	-0.0576	+0.0279	-0.0279
	0.2123	0.2123	0.2123		0.144	0.144	0.144	-0.3764	+0.1207	-0.1207	+0.1086	-0.1086	-0.2242	+0.0575	-0.0575	+0.0253	-0.0253
	0.2424	0.2424	0.2424		0.171	0.171	0.171	-0.1859	+0.1108	-0.1108	+0.1001	-0.1001	-0.1278	+0.0502	-0.0502	+0.0239	-0.0239
	0.2773	0.2773	0.2773		0.205	0.205	0.205	-0.5255	+0.0794	-0.0794	+0.1331	-0.1331	-0.2689	+0.0343	-0.0343	+0.0239	-0.0239
	0.3135	0.3135	0.3135		0.244	0.244	0.244	-0.3759	+0.0648	-0.0648	+0.1201	-0.1201	-0.1963	+0.0268	-0.0268	+0.0228	-0.0228
	0.3533	0.3533	0.3533		0.292	0.292	0.292	-0.4106	+0.0634	-0.0634	+0.1295	-0.1295	-0.203	+0.0254	-0.0254	+0.0223	-0.0223
	0.3944	0.3944	0.3944		0.348	0.348	0.348	-0.567	+0.0587	-0.0587	+0.1481	-0.1481	-0.2576	+0.0228	-0.0228	+0.0217	-0.0217
	0.4377	0.4377	0.4377		0.416	0.416	0.416	-0.3921	+0.0586	-0.0586	+0.11	-0.11	-0.1843	+0.0224	-0.0224	+0.0222	-0.0222
	0.4814	0.4814	0.4814		0.496	0.496	0.496	-0.421	+0.0534	-0.0534	+0.1035	-0.1035	-0.1911	+0.0202	-0.0202	+0.0234	-0.0234
	0.5256	0.5256	0.5256		0.592	0.592	0.592	-0.4037	+0.0598	-0.0598	+0.0914	-0.0914	-0.1814	+0.0226	-0.0226	+0.0245	-0.0245

