Path: /HepData/7076/d13-x1-y1
A1 and g1/F1 for the P target at incident energy 1.6000 GeV and W = 1.3700 GeV
Location: F 1, 2, 3, 4
ELAB : 1.6 GeV
RE : E- P --> E- X
W : 1.37 GeV
sqrts : 1.37 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
x	xlow	xhigh	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
0.0475	0.0475	0.0475	0.0496	0.0496	0.0496	-0.1501	+0.1327	-0.1327	+0.0727	-0.0727	-0.1432	+0.1144	-0.1144	+0.0552	-0.0552
0.0562	0.0562	0.0562	0.0592	0.0592	0.0592	0.0403	+0.1365	-0.1365	+0.0733	-0.0733	0.0162	+0.1149	-0.1149	+0.0489	-0.0489
0.0663	0.0663	0.0663	0.0707	0.0707	0.0707	0.0591	+0.1264	-0.1264	+0.0752	-0.0752	0.0258	+0.1037	-0.1037	+0.0474	-0.0474
0.0782	0.0782	0.0782	0.0844	0.0844	0.0844	0.0217	+0.1171	-0.1171	+0.0765	-0.0765	-0.0092	+0.0933	-0.0933	+0.043	-0.043
0.0921	0.0921	0.0921	0.101	0.101	0.101	-0.2712	+0.1107	-0.1107	+0.0797	-0.0797	-0.2401	+0.0855	-0.0855	+0.0516	-0.0516
0.1076	0.1076	0.1076	0.12	0.12	0.12	0.252	+0.1146	-0.1146	+0.0789	-0.0789	0.1548	+0.0856	-0.0856	+0.0527	-0.0527
0.1264	0.1264	0.1264	0.144	0.144	0.144	0.1258	+0.1211	-0.1211	+0.0805	-0.0805	0.0545	+0.0871	-0.0871	+0.0401	-0.0401
0.1466	0.1466	0.1466	0.171	0.171	0.171	0.1391	+0.1022	-0.1022	+0.0804	-0.0804	0.0596	+0.0709	-0.0709	+0.0382	-0.0382
0.1708	0.1708	0.1708	0.205	0.205	0.205	0.1488	+0.0628	-0.0628	+0.0803	-0.0803	0.062	+0.0419	-0.0419	+0.0362	-0.0362
0.1969	0.1969	0.1969	0.244	0.244	0.244	0.0374	+0.0568	-0.0568	+0.0802	-0.0802	-0.012	+0.0365	-0.0365	+0.0332	-0.0332
0.2269	0.2269	0.2269	0.292	0.292	0.292	0.1354	+0.0572	-0.0572	+0.0789	-0.0789	0.0496	+0.0353	-0.0353	+0.0339	-0.0339
0.2591	0.2591	0.2591	0.348	0.348	0.348	0.2508	+0.0556	-0.0556	+0.079	-0.079	0.1183	+0.0331	-0.0331	+0.0357	-0.0357
0.2948	0.2948	0.2948	0.416	0.416	0.416	0.261	+0.0489	-0.0489	+0.0778	-0.0778	0.123	+0.0282	-0.0282	+0.0383	-0.0383
0.3326	0.3326	0.3326	0.496	0.496	0.496	0.1967	+0.0579	-0.0579	+0.0776	-0.0776	0.0872	+0.0325	-0.0325	+0.0416	-0.0416
0.373	0.373	0.373	0.592	0.592	0.592	0.3067	+0.0669	-0.0669	+0.0734	-0.0734	0.1494	+0.0366	-0.0366	+0.0444	-0.0444

