Path: /HepData/7076/d107-x1-y1
A1 and g1/F1 for the DEUT target at incident energy 1.6000 GeV and W = 1.2750 GeV
Location: F 1, 2, 3, 4
ELAB : 1.6 GeV
RE : E- DEUT --> E- X
W : 1.275 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
	0.0625	0.0625	0.0625		0.0496	0.0496	0.0496	-0.4367	+0.3156	-0.3156	+0.0705	-0.0705	-0.3459	+0.247	-0.247	+0.0494	-0.0494
	0.0737	0.0737	0.0737		0.0592	0.0592	0.0592	0.293	+0.2574	-0.2574	+0.0441	-0.0441	0.2161	+0.1944	-0.1944	+0.0246	-0.0246
	0.0868	0.0868	0.0868		0.0707	0.0707	0.0707	0.0632	+0.255	-0.255	+0.0668	-0.0668	0.0394	+0.1854	-0.1854	+0.0407	-0.0407
	0.1019	0.1019	0.1019		0.0844	0.0844	0.0844	-0.3844	+0.2381	-0.2381	+0.0691	-0.0691	-0.2726	+0.1661	-0.1661	+0.0385	-0.0385
	0.1195	0.1195	0.1195		0.101	0.101	0.101	-0.375	+0.231	-0.231	+0.0721	-0.0721	-0.2516	+0.1541	-0.1541	+0.0395	-0.0395
	0.1389	0.1389	0.1389		0.12	0.12	0.12	-0.3565	+0.2356	-0.2356	+0.0659	-0.0659	-0.2257	+0.1503	-0.1503	+0.0333	-0.0333
	0.1622	0.1622	0.1622		0.144	0.144	0.144	0.4362	+0.237	-0.237	+0.0862	-0.0862	0.2704	+0.1441	-0.1441	+0.0496	-0.0496
	0.1869	0.1869	0.1869		0.171	0.171	0.171	-0.5646	+0.2379	-0.2379	+0.1091	-0.1091	-0.3232	+0.1383	-0.1383	+0.0586	-0.0586
	0.216	0.216	0.216		0.205	0.205	0.205	-0.2244	+0.1444	-0.1444	+0.0575	-0.0575	-0.1197	+0.0801	-0.0801	+0.024	-0.024
	0.247	0.247	0.247		0.244	0.244	0.244	-0.1752	+0.1211	-0.1211	+0.0526	-0.0526	-0.0886	+0.0643	-0.0643	+0.0194	-0.0194
	0.2819	0.2819	0.2819		0.292	0.292	0.292	-0.3637	+0.1214	-0.1214	+0.0916	-0.0916	-0.181	+0.062	-0.062	+0.0413	-0.0413
	0.3187	0.3187	0.3187		0.348	0.348	0.348	-0.2998	+0.1229	-0.1229	+0.0738	-0.0738	-0.1428	+0.0606	-0.0606	+0.0312	-0.0312
	0.3587	0.3587	0.3587		0.416	0.416	0.416	-0.3998	+0.1172	-0.1172	+0.0809	-0.0809	-0.1873	+0.0561	-0.0561	+0.0348	-0.0348
	0.4	0.4	0.4		0.496	0.496	0.496	-0.353	+0.1284	-0.1284	+0.0665	-0.0665	-0.1633	+0.0601	-0.0601	+0.0274	-0.0274
	0.4431	0.4431	0.4431		0.592	0.592	0.592	-0.4166	+0.1372	-0.1372	+0.0651	-0.0651	-0.1878	+0.0632	-0.0632	+0.0277	-0.0277

