Path: /HepData/7076/d247-x1-y1
A1 and g1/F1 for the DEUT target at incident energy 5.7000 GeV and W = 2.2050 GeV
Location: F 1, 2, 3, 4
ELAB : 5.7 GeV
RE : E- DEUT --> E- X
W : 2.205 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
x	xlow	xhigh	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
0.1508	0.1508	0.1508	0.707	0.707	0.707	0.0606	+0.2517	-0.2517	+0.0298	-0.0298	0.0661	+0.2207	-0.2207	+0.0211	-0.0211
0.1749	0.1749	0.1749	0.844	0.844	0.844	0.2432	+0.2702	-0.2702	+0.0388	-0.0388	0.2255	+0.2339	-0.2339	+0.0297	-0.0297
0.2024	0.2024	0.2024	1.01	1.01	1.01	-0.0753	+0.2909	-0.2909	+0.0615	-0.0615	-0.0471	+0.2485	-0.2485	+0.05	-0.05
0.2316	0.2316	0.2316	1.2	1.2	1.2	-1.0751	+0.35	-0.35	+0.1171	-0.1171	-0.8886	+0.2952	-0.2952	+0.0976	-0.0976
0.2657	0.2657	0.2657	1.44	1.44	1.44	0.488	+0.2249	-0.2249	+0.0591	-0.0591	0.4275	+0.1889	-0.1889	+0.0477	-0.0477
0.3005	0.3005	0.3005	1.71	1.71	1.71	-0.071	+0.2159	-0.2159	+0.0492	-0.0492	-0.0369	+0.1796	-0.1796	+0.0389	-0.0389
0.3399	0.3399	0.3399	2.05	2.05	2.05	0.5858	+0.2218	-0.2218	+0.0763	-0.0763	0.5033	+0.1828	-0.1828	+0.0625	-0.0625
0.38	0.38	0.38	2.44	2.44	2.44	0.0801	+0.2403	-0.2403	+0.0718	-0.0718	0.0895	+0.1963	-0.1963	+0.0583	-0.0583
0.4232	0.4232	0.4232	2.92	2.92	2.92	0.5187	+0.2446	-0.2446	+0.0634	-0.0634	0.4421	+0.199	-0.199	+0.0519	-0.0519
0.4665	0.4665	0.4665	3.48	3.48	3.48	0.5075	+0.3082	-0.3082	+0.0961	-0.0961	0.4304	+0.2508	-0.2508	+0.0793	-0.0793

