Path: /HepData/7076/d240-x1-y1
A1 and g1/F1 for the DEUT target at incident energy 5.7000 GeV and W = 2.1350 GeV
Location: F 1, 2, 3, 4
ELAB : 5.7 GeV
RE : E- DEUT --> E- X
W : 2.135 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
x	xlow	xhigh	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
0.1613	0.1613	0.1613	0.707	0.707	0.707	0.3905	+0.2677	-0.2677	+0.0617	-0.0617	0.3523	+0.2314	-0.2314	+0.0507	-0.0507
0.1867	0.1867	0.1867	0.844	0.844	0.844	0.7082	+0.2861	-0.2861	+0.0992	-0.0992	0.62	+0.2439	-0.2439	+0.0829	-0.0829
0.2155	0.2155	0.2155	1.01	1.01	1.01	-0.0303	+0.3067	-0.3067	+0.0787	-0.0787	-0.0074	+0.2577	-0.2577	+0.0638	-0.0638
0.2461	0.2461	0.2461	1.2	1.2	1.2	0.0859	+0.3451	-0.3451	+0.0373	-0.0373	0.0913	+0.286	-0.286	+0.0259	-0.0259
0.2814	0.2814	0.2814	1.44	1.44	1.44	-0.0868	+0.2349	-0.2349	+0.0683	-0.0683	-0.0459	+0.1937	-0.1937	+0.0541	-0.0541
0.3175	0.3175	0.3175	1.71	1.71	1.71	0.0516	+0.2304	-0.2304	+0.0556	-0.0556	0.0638	+0.1882	-0.1882	+0.0434	-0.0434
0.358	0.358	0.358	2.05	2.05	2.05	0.1535	+0.2397	-0.2397	+0.0402	-0.0402	0.1495	+0.1939	-0.1939	+0.0303	-0.0303
0.3989	0.3989	0.3989	2.44	2.44	2.44	0.6242	+0.2551	-0.2551	+0.0791	-0.0791	0.5255	+0.2049	-0.2049	+0.0638	-0.0638
0.4427	0.4427	0.4427	2.92	2.92	2.92	0.236	+0.2584	-0.2584	+0.0466	-0.0466	0.2124	+0.2067	-0.2067	+0.0377	-0.0377
0.4863	0.4863	0.4863	3.48	3.48	3.48	0.2332	+0.315	-0.315	+0.049	-0.049	0.2071	+0.2523	-0.2523	+0.0406	-0.0406

