Path: /HepData/7076/d48-x1-y1
A1 and g1/F1 for the P target at incident energy 5.7000 GeV and W = 2.1250 GeV
Location: F 1, 2, 3, 4
ELAB : 5.7 GeV
RE : E- P --> E- X
W : 2.125 GeV
sqrts : 2.125 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
x	xlow	xhigh	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
0.1629	0.1629	0.1629	0.707	0.707	0.707	0.2341	+0.0432	-0.0432	+0.0251	-0.0251	0.2393	+0.0382	-0.0382	+0.0199	-0.0199
0.1885	0.1885	0.1885	0.844	0.844	0.844	0.202	+0.05	-0.05	+0.0289	-0.0289	0.21	+0.0436	-0.0436	+0.0235	-0.0235
0.2175	0.2175	0.2175	1.01	1.01	1.01	0.2356	+0.0455	-0.0455	+0.0312	-0.0312	0.2379	+0.0391	-0.0391	+0.0251	-0.0251
0.2482	0.2482	0.2482	1.2	1.2	1.2	0.3917	+0.0485	-0.0485	+0.0408	-0.0408	0.3685	+0.0411	-0.0411	+0.035	-0.035
0.2838	0.2838	0.2838	1.44	1.44	1.44	0.3108	+0.043	-0.043	+0.0414	-0.0414	0.2972	+0.0359	-0.0359	+0.0348	-0.0348
0.32	0.32	0.32	1.71	1.71	1.71	0.385	+0.0433	-0.0433	+0.0447	-0.0447	0.3558	+0.0358	-0.0358	+0.0375	-0.0375
0.3607	0.3607	0.3607	2.05	2.05	2.05	0.4965	+0.049	-0.049	+0.0506	-0.0506	0.4429	+0.0401	-0.0401	+0.0427	-0.0427
0.4017	0.4017	0.4017	2.44	2.44	2.44	0.5433	+0.0506	-0.0506	+0.0535	-0.0535	0.4757	+0.041	-0.041	+0.045	-0.045
0.4455	0.4455	0.4455	2.92	2.92	2.92	0.452	+0.0507	-0.0507	+0.057	-0.057	0.3975	+0.0409	-0.0409	+0.0477	-0.0477
0.4892	0.4892	0.4892	3.48	3.48	3.48	0.5905	+0.0597	-0.0597	+0.0663	-0.0663	0.5054	+0.0481	-0.0481	+0.0557	-0.0557
0.5338	0.5338	0.5338	4.16	4.16	4.16	0.7333	+0.0885	-0.0885	+0.0658	-0.0658	0.6182	+0.0713	-0.0713	+0.0555	-0.0555

