Path: /HepData/7076/d18-x1-y1
A1 and g1/F1 for the P target at incident energy 1.6000 GeV and W = 1.4700 GeV
Location: F 1, 2, 3, 4
ELAB : 1.6 GeV
RE : E- P --> E- X
W : 1.47 GeV
sqrts : 1.47 GeV
x: X
x2: Q**2 IN GEV**2
y : A1 : G1/F1
x	xlow	xhigh	x2	x2low	x2high	y	dy+	dy-	dy+	dy-	y	dy+	dy-	dy+	dy-	
0.0373	0.0373	0.0373	0.0496	0.0496	0.0496	-8.0E-4	+0.0885	-0.0885	+0.0575	-0.0575	0.0016	+0.0805	-0.0805	+0.049	-0.049
0.0442	0.0442	0.0442	0.0592	0.0592	0.0592	-0.0105	+0.083	-0.083	+0.0521	-0.0521	-0.0067	+0.0744	-0.0744	+0.0426	-0.0426
0.0524	0.0524	0.0524	0.0707	0.0707	0.0707	-0.1601	+0.08	-0.08	+0.0467	-0.0467	-0.1377	+0.0704	-0.0704	+0.0357	-0.0357
0.0619	0.0619	0.0619	0.0844	0.0844	0.0844	-0.2401	+0.0772	-0.0772	+0.0427	-0.0427	-0.2046	+0.0666	-0.0666	+0.0301	-0.0301
0.0732	0.0732	0.0732	0.101	0.101	0.101	-0.0341	+0.0786	-0.0786	+0.038	-0.038	-0.0271	+0.0663	-0.0663	+0.0239	-0.0239
0.0858	0.0858	0.0858	0.12	0.12	0.12	0.0561	+0.0786	-0.0786	+0.0354	-0.0354	0.0473	+0.0646	-0.0646	+0.0198	-0.0198
0.1012	0.1012	0.1012	0.144	0.144	0.144	-0.0619	+0.0808	-0.0808	+0.0346	-0.0346	-0.0488	+0.0647	-0.0647	+0.0172	-0.0172
0.1179	0.1179	0.1179	0.171	0.171	0.171	0.0814	+0.0594	-0.0594	+0.0356	-0.0356	0.0643	+0.0462	-0.0462	+0.0185	-0.0185
0.1381	0.1381	0.1381	0.205	0.205	0.205	0.1064	+0.0381	-0.0381	+0.0387	-0.0387	0.0819	+0.0287	-0.0287	+0.0218	-0.0218
0.1602	0.1602	0.1602	0.244	0.244	0.244	0.1756	+0.0355	-0.0355	+0.0438	-0.0438	0.1314	+0.0259	-0.0259	+0.0266	-0.0266
0.1858	0.1858	0.1858	0.292	0.292	0.292	0.241	+0.038	-0.038	+0.0519	-0.0519	0.1751	+0.0269	-0.0269	+0.0327	-0.0327
0.2139	0.2139	0.2139	0.348	0.348	0.348	0.2892	+0.0369	-0.0369	+0.0586	-0.0586	0.2047	+0.0252	-0.0252	+0.0375	-0.0375
0.2454	0.2454	0.2454	0.416	0.416	0.416	0.348	+0.0372	-0.0372	+0.064	-0.064	0.2395	+0.0247	-0.0247	+0.0415	-0.0415
0.2794	0.2794	0.2794	0.496	0.496	0.496	0.4427	+0.0466	-0.0466	+0.0648	-0.0648	0.2957	+0.03	-0.03	+0.0429	-0.0429
0.3164	0.3164	0.3164	0.592	0.592	0.592	0.4927	+0.06	-0.06	+0.0622	-0.0622	0.321	+0.0376	-0.0376	+0.0445	-0.0445

