Path: /HepData/1323/d6-x1-y1
The spin structure function G1D for the Q**2 region 0.65 to 1.3 GeV**2.
Location: T 6, F 7
Q**2 IN GEV**2 : 0.65 TO 1.3
RE : E- DEUT --> E- X
x: W IN GEV
y : G1
x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
1.12	1.12	1.12	-0.022	+0.008	-0.008	+0.004	-0.004
1.2	1.2	1.2	-0.029	+0.011	-0.011	+0.003	-0.003
1.28	1.28	1.28	-0.01	+0.011	-0.011	+0.004	-0.004
1.36	1.36	1.36	0.003	+0.011	-0.011	+0.007	-0.007
1.44	1.44	1.44	0.024	+0.013	-0.013	+0.005	-0.005
1.52	1.52	1.52	0.086	+0.016	-0.016	+0.011	-0.011
1.6	1.6	1.6	0.089	+0.016	-0.016	+0.013	-0.013
1.68	1.68	1.68	0.072	+0.018	-0.018	+0.013	-0.013
1.76	1.76	1.76	0.082	+0.021	-0.021	+0.017	-0.017

