Path: /HepData/1323/d5-x1-y1
The spin structure function G1D for the Q**2 region 0.39 to 0.65 GeV**2.
Location: T 5, F 7
Q**2 IN GEV**2 : 0.39 TO 0.65
RE : E- DEUT --> E- X
x: W IN GEV
y : G1
x	xlow	xhigh	y	dy+	dy-	dy+	dy-	
1.12	1.12	1.12	-0.025	+0.018	-0.018	+0.004	-0.004
1.2	1.2	1.2	-0.088	+0.025	-0.025	+0.017	-0.017
1.28	1.28	1.28	-0.083	+0.024	-0.024	+0.011	-0.011
1.36	1.36	1.36	-0.008	+0.023	-0.023	+0.014	-0.014
1.44	1.44	1.44	0.024	+0.024	-0.024	+0.007	-0.007
1.52	1.52	1.52	0.075	+0.029	-0.029	+0.012	-0.012
1.6	1.6	1.6	0.08	+0.028	-0.028	+0.014	-0.014
1.68	1.68	1.68	0.046	+0.03	-0.03	+0.012	-0.012
1.76	1.76	1.76	0.016	+0.031	-0.031	+0.011	-0.011
1.84	1.84	1.84	0.028	+0.03	-0.03	+0.013	-0.013
1.92	1.92	1.92	-0.016	+0.031	-0.031	+0.013	-0.013

