 200.0 .02000 .585 .041 .023 .14
 200.0 .03200 .490 .038 .026 .11
 200.0 .05000 .460 .039 .029 .09
 200.0 .08000 .372 .032 .039 .06
 200.0 .13000 .350 .037 .032 .04
 200.0 .20000 .301 .045 .036 .03
 250.0 .00500 1.185 .106 .060 .20
 250.0 .00800 1.000 .062 .054 .18
 250.0 .01300 .826 .055 .047 .16
 250.0 .02000 .730 .051 .072 .14
 250.0 .03200 .590 .044 .067 .11
 250.0 .05000 .584 .043 .060 .09
 250.0 .08000 .408 .033 .037 .06
 250.0 .13000 .312 .029 .051 .04
 250.0 .20000 .231 .031 .056 .03
 350.0 .00800 .997 .082 .049 .17
 350.0 .01300 .825 .066 .043 .15
 350.0 .02000 .581 .052 .042 .13
 350.0 .03200 .608 .054 .056 .10
 350.0 .05000 .570 .052 .061 .08
 350.0 .08000 .447 .043 .038 .06
 350.0 .13000 .356 .036 .057 .04
 350.0 .20000 .256 .036 .055 .03
 350.0 .32000 .280 .051 .061 .02
 500.0 .01300 .904 .083 .050 .14
 500.0 .02000 .725 .065 .046 .12
 500.0 .03200 .546 .059 .034 .10
 500.0 .05000 .433 .051 .035 .08
 500.0 .08000 .397 .047 .032 .06
 500.0 .13000 .276 .036 .030 .04
 500.0 .20000 .228 .035 .027 .03
 650.0 .01300 .881 .120 .076 .14
 650.0 .02000 .727 .081 .061 .12
 650.0 .03200 .545 .068 .047 .09
 650.0 .05000 .483 .062 .045 .07
 650.0 .08000 .422 .059 .031 .05
 650.0 .13000 .369 .050 .030 .04
 650.0 .20000 .262 .044 .042 .03
 650.0 .32000 .222 .055 .074 .02
 800.0 .02000 .686 .098 .083 .11
 800.0 .03200 .676 .085 .082 .09
 800.0 .05000 .533 .075 .067 .07
 800.0 .08000 .428 .075 .057 .05
 800.0 .13000 .490 .075 .066 .04
 800.0 .20000 .312 .057 .073 .03
 800.0 .32000 .258 .065 .090 .02
 1200.0 .03200 .668 .109 .091 .09
 1200.0 .05000 .412 .078 .064 .07
 1200.0 .08000 .502 .089 .069 .05
 1200.0 .13000 .436 .084 .066 .03
 1200.0 .20000 .260 .057 .048 .02
 1200.0 .32000 .201 .056 .064 .01
 2000.0 .05000 .634 .087 .046 .06
 2000.0 .08000 .395 .060 .035 .05
 2000.0 .13000 .237 .048 .026 .03
 2000.0 .20000 .199 .041 .017 .02
 2000.0 .32000 .193 .043 .045 .01
 5000.0 .13000 .453 .121 .056 .03
 5000.0 .20000 .229 .087 .030 .02
 5000.0 .32000 .283 .085 .064 .01
