 1.5 .00003 .969 .176 .187 .71
 1.5 .00025 .540 .055 .104 .75
 1.5 .00063 .458 .050 .101 .74
 1.5 .00158 .365 .045 .095 .70
 1.5 .00398 .381 .070 .087 .63
 2.0 .00005 1.037 .077 .110 .65
 2.5 .00008 .885 .052 .065 .80
 2.5 .00013 .874 .079 .127 .80
 2.5 .00025 .622 .037 .119 .80
 2.5 .00063 .621 .039 .093 .79
 2.5 .00158 .466 .033 .072 .75
 2.5 .00398 .402 .039 .062 .65
 3.5 .00008 1.036 .053 .092 .64
 3.5 .00013 1.026 .045 .067 .64
 3.5 .00020 .934 .041 .075 .64
 3.5 .00032 .854 .046 .093 .64
 3.5 .00050 .716 .041 .119 .64
 3.5 .00080 .712 .049 .126 .63
 3.5 .00130 .778 .058 .137 .61
 3.5 .00250 .621 .043 .157 .59
 3.5 .00398 .458 .046 .075 .54
 5.0 .00013 1.106 .049 .074 .54
 5.0 .00020 1.033 .044 .069 .54
 5.0 .00032 .907 .039 .066 .54
 5.0 .00050 .839 .039 .076 .53
 5.0 .00080 .769 .037 .063 .53
 5.0 .00130 .630 .034 .050 .51
 5.0 .00200 .540 .033 .043 .50
 5.0 .00400 .500 .029 .086 .46
 6.5 .00013 1.292 .085 .127 .49
 6.5 .00020 1.101 .052 .072 .48
 6.5 .00032 .963 .045 .068 .48
 6.5 .00050 .926 .044 .088 .48
 6.5 .00080 .848 .038 .076 .47
 6.5 .00130 .759 .039 .068 .46
 6.5 .00250 .667 .029 .054 .43
 6.5 .00630 .504 .029 .084 .37
 8.5 .00020 1.215 .050 .062 .44
 8.5 .00032 1.089 .038 .048 .44
 8.5 .00050 1.033 .034 .062 .43
 8.5 .00080 .923 .031 .038 .43
 8.5 .00130 .811 .030 .047 .42
 8.5 .00200 .770 .034 .049 .40
 8.5 .00320 .562 .028 .043 .38
 8.5 .00500 .648 .033 .051 .36
 8.5 .00800 .564 .032 .049 .33
 12.0 .00032 1.276 .020 .055 .39
 12.0 .00050 1.168 .016 .056 .39
 12.0 .00080 1.067 .015 .061 .38
 12.0 .00130 .942 .015 .039 .37
 12.0 .00200 .866 .016 .057 .36
 12.0 .00320 .749 .016 .055 .34
