Table  V. (cont'd) pi* integral invariant crone sections																			
K0=9 GeV (P*max=2.000 GeV/c)																			
Plab	PT	P*L	Kmin	Hydrogen		Deuterion													
(GeV/c)	(GeV/c)	(GeV/C)	(GeV)	(pib/GeV2)		(pib/GeV2)													
2.0	1.500	-1.668	7.31	6.65+-2.01	E-4														
3.0	0.625	0.319	3.23	1.27+-0.02	E+1														
3.0	0.750	0.231	3.35	5.44+-0.05	E+0														
3.0	0.875	0.128	3.49	2.13+-0.02	E+0														
3.0	1.000	0.006	3.68	8.02+-0.17	E-1														
3.0	1.125	-0.134	3.92	2.71+-0.03	E-1														
3.0	1.219	-0.252	4.15	1.18+-0.02	E-1														
3.0	1.250	-0.294	4.24	8.83+-0.22	E-2														
3.0	1.375	-0.474	4.67	2.74+-0.08	E-2														
3.0	1.500	-0.676	5.27	7.23+-0.40 	E-3														
3.0	1.625	-0.901	6.15	1.81+-0.13	E-3														
3.0	1.750	-1.153	7.56	2.63+-0.52	E-4														
3.0	1.875	-1.433	10.14	9.29+-2.81	E-5														
4.0	0.875	0.403	4.47	1.04+-0.02	E+0														
4.0	1.000	0.314	4.63	6.75+-0.07	E-1	1.20+-0.02  E+0													
4.0	1.125	0.212	4.84	2.47+-0.04	E-1														
4.0	1.250	0.097	5.09	8.44+-0.16	E-2														
4.0	1.375	-0.031	5.41	2.96+-0.06	E-2	5.49+-0.12  E-2													
4.0	1.500	-0.174	5.82	1.04+-0.04 	E-2														
4.0	1.625	-0.331	6.34	3.15+-0.12	E-3														
4.0	1.750	-0.503	7.03	8.90+-0.45	E-4														
4.0	1.875	-0.691	7.99	2.16+-0.15	E-4														
4.0	2.000	-0.896	9.37	2.57+-0.86	E-5														
5.0	1.012	0.559	5.63	5.26+-0.09	E-1														
5.0	1.125	0.486	5.80	2.09+-0.04	E-1														
5.0	1.250	0.396	6.02	7.87+-0.28	E-2														
5.0	1.375	0.295	6.30	2.79+-0.12	E-2														
5.0	1.500	0.184	6.63	1.00+-0.04	E-2														
5.0	1.625	0.062	7.05	3.20+-0.16 	E-3														
5.0	1.750	-0.070	7.55	1.29+-0.09	E-3														
5.0	1.875	-0.214	8.20	3.81+-0.34	E-4														
5.0	2.000	-0.369	8.03	8.40+-1.32	E-5														
6.0	1.250	0.651	6.98	6.11+-0.09 	E-2	1.12+-0.02  E-1													
